阿非利加洲	África
南非	Sudáfrica
商博良	Jean-François Champollion
阿爾及利亞	Argelia
水	Agua
電視	Televisión
智利	Chile
耶穌	Jesús de Nazaret
伽利略	Galileo Galilei
辰星	Mercurio (planeta)
史	Historia
蘋果公司	Apple
太白	Venus (planeta)
語言	Lenguaje
愛	Amor
歲星	Júpiter (planeta)
銀河	Vía Láctea
大霹靂	Teoría del Big Bang
天王星	Urano (planeta)
英文維基大典	Wikipedia en inglés
海王星	Neptuno (planeta)
新加坡	Singapur
格致	Ciencia
冥王星	Plutón (planeta enano)
列支敦士登	Liechtenstein
希特勒	Adolf Hitler
臉書	Facebook
第一次世界大戰	Primera Guerra Mundial
第二次世界大戰	Segunda Guerra Mundial
烏邦土	Ubuntu
數學	Matemáticas
拉丁語	Latín
巴林	Baréin
塞爾維亞	Serbia
月	Luna
澳大利亞	Australia
物理	Física
阿根廷	Argentina
秘魯	Perú
生物學	Biología
朝鮮民主主義人民共和國	Corea del Norte
柬埔寨	Camboya
古蘭經	Corán
恐龍	Dinosauria
回教	Islam
大英百科	Enciclopedia Británica
歐羅巴聯盟	Unión Europea
朋友	Amistad
馬里亞納海溝	Fosa de las Marianas
珠穆朗瑪峰	Monte Everest
拿破崙一世	Napoleón Bonaparte
恆星	Estrella
日	Sol
巴斯特	Louis Pasteur
光年	Año luz
大洋洲	Oceanía
太陽系	Sistema Solar
氫	Hidrógeno
氦	Helio
維基共享	Wikimedia Commons
鋰	Litio
鈹	Berilio
日（曆法）	Día
東帝汶	Timor Oriental
夜	Noche
黑洞	Agujero negro
穀神星	Ceres (planeta enano)
妊神星	Haumea (planeta enano)
鳥神星	Makemake (planeta enano)
鬩神星	Eris (planeta enano)
硼	Boro
碳	Carbono
氮	Nitrógeno
氧	Oxígeno
行星	Planeta
威尼斯	Venecia
火影忍者	Naruto
莫斯科	Moscú
氟	Flúor
義大利語	Idioma italiano
氖	Neón
鈉	Sodio
鎂	Magnesio
鋁	Aluminio
紐西蘭	Nueva Zelanda
印度	India
硅	Silicio
磷	Fósforo
鐵	Hierro
硫	Azufre
東	Este
氯	Cloro
巴布亞新幾內亞	Papúa Nueva Guinea
莎士比亞	William Shakespeare
氬	Argón
鉀	Potasio
鈣	Calcio
鉛	Plomo
蒙古國	Mongolia
鈧	Escandio
鈦	Titanio
委內瑞拉	Venezuela
成吉思汗	Gengis Kan
釩	Vanadio
鉻	Cromo
阿姆斯特丹	Ámsterdam
動物	Animalia
錳	Manganeso
哥倫比亞	Colombia
鈷	Cobalto
鎢	Wolframio
鎳	Níquel
佛教	Budismo
玻利維亞	Bolivia
銅	Cobre
千里達及托巴哥	Trinidad y Tobago
植物	Plantae
鋅	Cinc
真菌	Fungi
牙買加	Jamaica
夏威夷	Hawái
海地	Haití
伊朗	Irán
伊拉克	Irak
哥斯大黎加	Costa Rica
以色列	Israel
巴拿馬	Panamá
科威特	Kuwait
老撾	Laos
馬爾地夫	Maldivas
亞美利加洲	América
馬來西亞	Malasia
緬甸	Birmania
尼泊爾	Nepal
阿曼	Omán
巴基斯坦	Pakistán
卡達國	Catar
沙特阿拉伯	Arabia Saudita
斯里蘭卡	Sri Lanka
斯大林	Iósif Stalin
柏拉圖	Platón
鎵	Galio
神奇寶貝	Pokémon
中華民國	República de China
鍺	Germanio
泰國	Tailandia
砒	Arsénico
硒	Selenio
溴	Bromo
鉑	Platino
越南	Vietnam
大韓民國	Corea del Sur
氪	Kriptón
阿富汗	Afganistán
江南風	Gangnam Style
銣	Rubidio
金	Oro
蘇彝士運河	Canal de Suez
孟加拉國	Bangladés
蘇格拉底	Sócrates
安哥拉	Angola
不丹	Bután
汶萊	Brunéi
汞	Mercurio (elemento)
菲律賓	Filipinas
中非	República Centroafricana
鉈	Talio
南極	Polo Sur
北極	Polo Norte
牛頓	Isaac Newton
鍶	Estroncio
釔	Itrio
鉍	Bismuto
尚比亞	Zambia
津巴布韋	Zimbabue
北京市	Pekín
南蘇丹	Sudán del Sur
海參崴	Vladivostok
波札那	Botsuana
剛果民主共和國	República Democrática del Congo
吉布提	Yibuti
加蓬	Gabón
甘地	Mahatma Gandhi
利比亞	Libia
馬達加斯加	Madagascar
摩洛哥	Marruecos
莫桑比克	Mozambique
納米比亞	Namibia
尼日利亞	Nigeria
烏干達	Uganda
索馬里	Somalia
凱撒	Julio César
蘇丹	Sudán
斯威士蘭	Suazilandia
鍀	Tecnecio
天演	Evolución biológica
聯合國	Organización de las Naciones Unidas
地理學	Geografía
腦	Cerebro
布拉格	Praga
銀	Plata
錫	Estaño
鈾	Uranio
鈈	Plutonio
碘	Yodo
氙	Xenón
銫	Cesio
鐳	Radio (elemento)
氡	Radón
賈坎德邦	Jharkhand
耶路撒冷	Jerusalén
印度洋	Océano Índico
科索沃	Kosovo
蕭邦	Frédéric Chopin
Category:類	Categoría:Índice de categorías
帕斯卡	Blaise Pascal
冬	Invierno
春	Primavera
夏	Verano
秋	Otoño
薩達姆·海珊	Sadam Husein
拉登	Osama bin Laden
西班牙語	Idioma español
巴赫	Johann Sebastian Bach
泉幣	Dinero
奧古斯都	César Augusto
諾基亞	Nokia
德克薩斯州	Texas
布宜諾斯艾利斯	Buenos Aires
東京都	Tokio
密西西比河	Río Misisipi
錫金	Sikkim
尼爾杭思朗	Neil Armstrong
斯德哥爾摩	Estocolmo
墓誌	Epitafio
里加	Riga
聖經	Biblia
金邊	Nom Pen
真耶穌教會	Verdadera Iglesia de Jesús
英語	Idioma inglés
曼谷	Bangkok
臺北市	Taipéi
鎇	Americio
康賽普西翁	Concepción (Chile)
緬尼托巴	Manitoba
孔斯科沃拉	Końskowola
公元二千年	2000
二〇〇三年	2003
二〇〇二年	2002
二〇〇一年	2001
二〇一二年	2012
二〇一一年	2011
二〇一〇年	2010
二〇〇九年	2009
二氧化碳	Dióxido de carbono
二〇一三年	2013
二〇一四年	2014
二〇一五年	2015
二〇〇八年	2008
二〇〇四年	2004
二〇〇五年	2005
二〇〇六年	2006
二〇〇七年	2007
一氧化碳	Monóxido de carbono
戴高樂	Charles de Gaulle
一九九二年	1992
一九九一年	1991
一九九〇年	1990
一九九三年	1993
一九九四年	1994
一九九五年	1995
一九九六年	1996
可縮放矢量圖形	Scalable Vector Graphics
萊比錫	Leipzig
一九九七年	1997
一九九八年	1998
一九九九年	1999
食物	Alimento
光速	Velocidad de la luz
公曆一月一日	1 de enero
公曆一月二日	2 de enero
公曆一月三日	3 de enero
公曆一月四日	4 de enero
矮行星	Planeta enano
公曆一月五日	5 de enero
公曆一月六日	6 de enero
電子	Electrón
公曆一月七日	7 de enero
公曆一月八日	8 de enero
公曆一月九日	9 de enero
公曆一月十日	10 de enero
公曆一月十一日	11 de enero
公曆一月十二日	12 de enero
公曆一月十三日	13 de enero
公曆一月十四日	14 de enero
公曆一月十五日	15 de enero
工業革命	Revolución Industrial
苯	Benceno
微軟	Microsoft
質子	Protón
庫魯夫	Kurów
公曆二月五日	5 de febrero
公曆二月八日	8 de febrero
化學	Química
中子	Neutrón
公曆二月廿九日	29 de febrero
公曆三月十四日	14 de marzo
一九八九年	1989
一九八八年	1988
一九八七年	1987
一九八六年	1986
一九八五年	1985
一九八四年	1984
一九八三年	1983
一九八二年	1982
一九八一年	1981
一九八〇年	1980
一九七〇年	1970
一九七一年	1971
一九七二年	1972
一九七三年	1973
一九七四年	1974
一九七五年	1975
一九七六年	1976
一九七七年	1977
一九七八年	1978
一九七九年	1979
一九六九年	1969
公曆四月五日	5 de abril
衛星	Satélite natural
公曆五月四日	4 de mayo
土衛六	Titán (satélite)
一九六八年	1968
一九六七年	1967
一九六六年	1966
一九六五年	1965
一九六四年	1964
公曆六月廿日	20 de junio
公曆七月廿三日	23 de julio
足球	Fútbol
一九六三年	1963
一九六二年	1962
公曆九月十日	10 de septiembre
公曆十二月卅一日	31 de diciembre
公曆十月十日	10 de octubre
灶神星	(4) Vesta
查理曼	Carlomagno
木衛一	Ío (satélite)
木衛四	Calisto (satélite)
木衛二	Europa (satélite)
木衛三	Ganímedes (satélite)
火	Fuego
新南威爾士州	Nueva Gales del Sur
土衛二	Encélado (satélite)
天衛三	Titania (satélite)
海衛一	Tritón (satélite)
雅加達	Yakarta
一九六一年	1961
Category:模板	Categoría:Wikipedia:Plantillas
一九六〇年	1960
小行星	Asteroide
日食	Eclipse solar
二進制	Sistema binario
阿斯圖里亞斯	Asturias
維基大典:沙盒	Wikipedia:Zona de pruebas
卡爾梅克共和國	Kalmukia
代數學	Álgebra
地圖	Mapa
阿拉貢自治區	Aragón
前卅三年	33 a. C.
硫酸	Ácido sulfúrico
同海機場	Aeropuerto de Đồng Hới
Category:大韓民國紀事	Categoría:Historia de Corea del Sur
Category:日本史	Categoría:Historia de Japón
伯力	Jabárovsk
Category:越南史	Categoría:Historia de Vietnam
孔子	Confucio
莎拉伯恩哈特	Sarah Bernhardt
Category:伊拉克史	Categoría:Historia de Irak
南加州大学	Universidad del Sur de California
Category:數學	Categoría:Matemáticas
Category:蒙古史	Categoría:Historia de Mongolia
Category:人造語言	Categoría:Lenguas artificiales
文藝復興	Renacimiento
歐元	Euro
美金	Dólar estadounidense
地中海	Mar Mediterráneo
遼	Dinastía Liao
杭州市	Hangzhou
基督教	Cristianismo
Template:然也	Plantilla:A favor
金朝	Dinastía Jin (1115-1234)
柏林圍牆	Muro de Berlín
稻	Arroz
大陸	Continente
京	Capital (política)
Template:門	Plantilla:Portal
一九四八年	1948
艾爾瑪善鎮	Almazán
黃現璠	Huang Xianfan
一九四五年	1945
一九五八年	1958
日語	Idioma japonés
百科全書	Enciclopedia
維基大典:卷首	Wikipedia:Portada
一九五九年	1959
Template:正典	Plantilla:Artículo bueno
電晶體	Transistor
棒球	Béisbol
奧林匹克運動會	Juegos olímpicos
長江	Yangtsé
喜瑪拉雅山	Himalaya
落磯山	Montañas Rocosas
韃靼斯坦共和國	Tartaristán
一二六三年	1263
古斯巴達	Esparta
埃斯特雷馬杜拉	Extremadura
安達盧西亞	Andalucía
麥加	La Meca
毛澤東	Mao Zedong
西安市	Xi'an
拉薩市	Lhasa
哲學	Filosofía
Category:速刪候	Categoría:Wikipedia:Borrar (definitivo)
茶	Té
馬可·波羅	Marco Polo
一三六三年	1363
共產主義	Comunismo
一三六八年	1368
迦太基	Cartago
大英博物館	Museo Británico
巴拉頓湖	Lago Balatón
蒙庇利埃	Montpellier
Category:天文	Categoría:Astronomía
吉他	Guitarra
同性戀	Homosexualidad
漢堡包	Hamburguesa
夸克	Quark
高斯	Carl Friedrich Gauss
一六四四年	1644
一六四五年	1645
Category:恒星	Categoría:Estrellas
李白	Li Bai
伽羅華	Évariste Galois
政府	Gobierno
秦始皇帝	Qin Shi Huang
秦二世皇帝	Qin Er Shi
中東	Oriente Medio
漢	Dinastía Han
漢太祖高皇帝	Liu Bang
漢世宗孝武皇帝	Emperador Wu
聖女貞德	Juana de Arco
王莽	Wang Mang
意理	Ideología
帝國主義	Imperialismo
漢更始帝	Liu Xuan
漢世祖光武皇帝	Liu Xiu
共和	República
漢顯宗孝明皇帝	Emperador Ming de Han
國	Estado
漢孝和皇帝	Emperador He de Han
漢孝靈皇帝	Emperador Ling de Han
元	Dinastía Yuan
德意志第三帝國	Alemania nazi
哥倫布	Cristóbal Colón
庫克船長	James Cook
科爾蒂斯	Hernán Cortés
鄭和	Zheng He
大堡礁	Gran barrera de coral
巴拿馬運河	Canal de Panamá
晉	Dinastía Jin (265-420)
黃河	Río Amarillo
晉元帝	Emperador Yuan de Jin
隋	Dinastía Sui
西夏	Imperio tangut
脫氧核酸	Ácido desoxirribonucleico
趙宋	Dinastía Song
宋太祖	Song Taizu
宋徽宗	Song Huizong
宋高宗	Song Gaozong
宋理宗	Lizong
宋度宗	Duzong
歐拉	Leonhard Euler
一七七四年	1774
一七七五年	1775
一七七六年	1776
一八六六年	1866
一八六七年	1867
一八六八年	1868
晝	Mañana
拿破崙二世	Napoleón II Bonaparte
砒霜	Trióxido de arsénico
法律	Derecho
一七九四年	1794
世界人權宣言	Declaración Universal de los Derechos Humanos
一七九五年	1795
一七九六年	1796
漢語	Idioma chino
細胞	Célula
全球暖化	Calentamiento global
禪宗	Zen
鼠標	Ratón (informática)
聖奧思定	Agustín de Hipona
精靈	Hada
朊	Proteína
理則	Lógica
龍捲風	Tornado
幾何	Geometría
語法	Gramática
熱帶氣旋	Ciclón tropical
計學	Economía
語言學	Lingüística
文字	Sistema de escritura
阿拉伯字	Alfabeto árabe
漢字	Sinograma
西里爾字母	Alfabeto cirílico
孫子兵法	El arte de la guerra
Category:音樂	Categoría:Música
紅樓夢	Sueño en el pabellón rojo
Category:法國史	Categoría:Historia de Francia
哈利波特	Harry Potter
放手銃	Masturbación
法文維基大典	Wikipedia en francés
死刑	Pena de muerte
人權	Derechos humanos
乳	Leche
山	Montaña
沙漠	Desierto
孫文	Sun Yat-sen
薩拉丁	Saladino
阿育王	Aśoka
阿克巴大帝	Akbar
香港	Hong Kong
韓戰	Guerra de Corea
南北戰爭	Guerra de Secesión
首爾特別市	Seúl
上海市	Shanghái
清	Dinastía Qing
越戰	Guerra de Vietnam
歐几里得	Euclides
巴斯克語	Euskera
星座	Constelación
拉脫維亞語	Idioma letón
原子	Átomo
宗教	Religión
朝鮮語	Idioma coreano
笛卡兒	René Descartes
官話	Chino mandarín
越南語	Idioma vietnamita
猶太教	Judaísmo
老子	Lao-Tsé
電鼠	Pikachu
尼采	Friedrich Nietzsche
司馬遷	Sima Qian
斯密亞丹	Adam Smith
朱熹	Zhu Xi
廷巴克圖	Tombuctú
洋	Océano
阿奎那	Tomás de Aquino
英王維多利亞	Victoria del Reino Unido
釋迦牟尼	Buda Gautama
馬丁·路德	Martín Lutero
儒家	Confucianismo
腹	Abdomen
陰脈	Vena
福克蘭群島	Islas Malvinas
陽脈	Arteria
唐	Dinastía Tang
威爾斯王妃黛安娜	Diana de Gales
唐太宗	Li Shimin
唐玄宗	Emperador Xuanzong de Tang
唐宣宗	Xuanzong II
明	Dinastía Ming
明太祖	Zhū Yuánzhāng
明惠宗	Jianwen
明成祖	Yongle
明仁宗	Hongxi
明宣宗	Xuande
明英宗	Zhu Qizhen
明代宗	Jingtai
明憲宗	Chenghua
明孝宗	Hongzhi
明武宗	Zhengde
明世宗	Jiajing
明穆宗	Longqing
明神宗	Emperador Wanli
明光宗	Taichang
明熹宗	Tianqi
明思宗	Chongzhen
電漿	Plasma (estado de la materia)
北斗七星	El Carro (asterismo)
金正日	Kim Jong-il
元素週期表	Tabla periódica de los elementos
自殺	Suicidio
九一一事件	Atentados del 11 de septiembre de 2001
電話	Teléfono
梵語	Sánscrito
化合物	Compuesto químico
算術	Aritmética
食鹽	Sal
化學元素	Elemento químico
方程	Ecuación
映射	Función matemática
角	Ángulo
分子	Molécula
加速度	Aceleración
能量	Energía
弈	Go
金屬	Metal
氣體	Gas
液體	Líquido
固體	Sólido
船舶	Buque
農	Agricultura
速度	Velocidad
納米科技	Nanotecnología
勾股定理	Teorema de Pitágoras
證明	Demostración matemática
數	Número
複數	Número complejo
公斤	Kilogramo
公尺	Metro
大麥	Hordeum vulgare
繪畫	Pintura
華爾街	Wall Street
美國總統	Presidente de los Estados Unidos
東南亞	Sudeste Asiático
瀋陽市	Shenyang
重慶市	Chongqing
天津市	Tianjín
武漢市	Wuhan
史前	Prehistoria
古埃及	Antiguo Egipto
白令海峽	Estrecho de Bering
古希臘	Antigua Grecia
傑弗遜	Thomas Jefferson
希臘文維基大典	Wikipedia en griego
麥	Triticum
格里曆	Calendario gregoriano
拉丁文維基大典	Wikipedia en latín
麻雀 (棋牌)	Mahjong
鹽	Sal (química)
牛頓（單位）	Newton (unidad)
度量衡	Medición
萬國公制	Sistema Internacional de Unidades
集論	Teoría de conjuntos
哈里發塔	Burj Khalifa
長城	Gran Muralla China
整數	Número entero
球	Esfera
大憲章	Carta Magna
阿兹特克	Mexica
上塞納省	Altos del Sena
東羅馬帝國	Imperio bizantino
奧斯曼帝國	Imperio otomano
國內生產總值	Producto interno bruto
銃	Arma de fuego
伊比利半島	Península ibérica
坦克	Tanque (desambiguación)
實數	Número real
楈枒	Cocos nucifera
桃	Prunus persica
湘語	Chino xiang
冰酪	Helado
文胸	Sostén (prenda de vestir)
阿拉伯語	Idioma árabe
本州	Honshū
四國	Región de Shikoku
地中海氣候	Clima mediterráneo
科西嘉	Córcega
頂級域名	Dominio de nivel superior
斯洛文尼亞語維基大典	Wikipedia en esloveno
百度	Baidu
澳門	Macao
尖沙咀	Tsim Sha Tsui
土衛一	Mimas (satélite)
土衛四	Dione (satélite)
土衛三	Tetis (satélite)
土衛五	Rea (satélite)
廣東省	Provincia de Cantón
廣西壯族自治區	Guangxi
蘇聯	Unión Soviética
香港中文大學	Universidad China de Hong Kong
亡神星	(90482) Orcus
塞德娜	(90377) Sedna
孟德斯鳩	Montesquieu
青馬大橋	Puente de Tsing Ma
維基大典:卓著	Wikipedia:Artículos destacados
Template:Link FA	Plantilla:Destacado
維基大典:會館	Wikipedia:Café
釜山廣域市	Busan
廣州市	Cantón (China)
蔣中正	Chiang Kai-shek
南京市	Nankín
君士坦丁堡	Constantinopla
首爾地鐵	Metro de Seúl
北京大學	Universidad de Pekín
清華大學	Universidad Tsinghua
烏魯木齊市	Urumchi
江蘇省	Jiangsu
浙江省	Zhejiang
鄧小平	Deng Xiaoping
新好男孩	Backstreet Boys
西藏自治區	Tíbet
圓	Circunferencia
歐氏幾何	Espacio euclídeo
周恩來	Zhou Enlai
中國共產黨	Partido Comunista de China
馮諾曼	John von Neumann
偽基大典	Uncyclopedia
太平山	Cumbre Victoria
公理	Axioma
清聖祖	Emperador Kangxi
朝鮮文維基大典	Wikipedia en coreano
檀香山	Honolulu
紋章	Heráldica
曼徹斯特聯足球俱樂部	Manchester United Football Club
平壤直轄市	Pionyang
模 (代數)	Módulo (matemática)
訓民正音	Hunminjeongeum
九	Nueve
清高宗	Emperador Qianlong
司徒華	Szeto Wah
蕭伯納	George Bernard Shaw
黑龍江省	Heilongjiang
香港島	Isla de Hong Kong
鹼金屬	Alcalino
非金屬	No metal
鹵素	Halógeno
稀有氣體	Gases nobles
維基大典:正典	Wikipedia:Artículos buenos
四川省	Sichuan
舊約	Antiguo Testamento
聖誕節	Navidad
三角形	Triángulo
印歐語系	Lenguas indoeuropeas
穆阿邁爾·格達費	Muamar el Gadafi
獨島	Rocas de Liancourt
江南區	Gangnam-gu
大田廣域市	Daejeon
大邱廣域市	Daegu
仁川國際機場	Aeropuerto Internacional de Incheon
仁川廣域市	Incheon
京畿道	Gyeonggi
自然數	Número natural
萬國音標字	Alfabeto Fonético Internacional
河北省	Hebei
革奴自由文檔許可協議	Licencia de documentación libre de GNU
蛋撻	Tartaleta de huevo
臺灣	Isla de Taiwán
紐約	Nueva York (desambiguación)
汝矣島	Yeouido
公元元年	1
魯迅	Lu Xun
八	Ocho
馬德堡半球	Hemisferios de Magdeburgo
主禱文	Padre nuestro
蒜	Allium sativum
白	Blanco (color)
黑	Negro (color)
六九八年	698
巴爾幹半島	Península balcánica
七二七年	727
墨索里尼	Benito Mussolini
四方	Punto cardinal
十	Diez
原子序	Número atómico
九一八年	918
公元百年	100
五七〇年	570
四時	Estaciones del año
二二二年	222
利物浦	Liverpool
鐵達尼號	RMS Titanic
五五二年	552
同位素	Isótopo
蜚蠊	Blattodea
功率	Potencia (física)
螢	Lampyridae
索布語	Lenguas sorbias
一八一二年戰爭	Guerra anglo-estadounidense de 1812
頂點	Vértice (geometría)
大理國	Reino de Dali
福岡市	Fukuoka
建城	Ab urbe condita
日本海	Mar del Japón
宮古列島	Islas Miyako
中亞	Asia Central
琉球國	Reino de Ryūkyū
伽倻	Confederación Gaya
朝鮮國	Dinastía Joseon
高麗國	Goryeo
大韓帝國	Imperio de Corea
渤海國	Balhae
高句麗	Goguryeo
百濟	Baekje
新羅	Silla (Corea)
扶餘	Reino de Buyeo
奧匈帝國	Imperio austrohúngaro
吸血鬼日記	The Vampire Diaries (serie de televisión)
馬雅	Cultura maya
印加國	Imperio incaico
縣	Condado
韓非子	Han Feizi
錦州市	Jinzhou
導數	Derivada
黃帝	Emperador amarillo
釣魚臺列嶼	Islas Senkaku
中國	China (región)
成都市	Chengdú
咖啡廳	Cafetería
蒲公英	Taraxacum
雪豹	Panthera uncia
白話維基大典	Wikipedia en chino
二二一年	221
五四三年	543
五三六年	536
二三〇年	230
二〇二年	202
一九二年	192
總統	Presidente
五五五年	555
五七一年	571
滿洲國	Manchukuo
二三一年	231
二二五年	225
三一一年	311
二二〇年	220
三一三年	313
五八七年	587
五四八年	548
五四九年	549
五五一年	551
五五七年	557
二二三年	223
二二四年	224
二一九年	219
大運河	Gran Canal de China
五八九年	589
華佗	Hua Tuo
三〇四年	304
五五〇年	550
五八六年	586
五八八年	588
五五四年	554
二二九年	229
五八三年	583
二六五年	265
二六三年	263
五八五年	585
五八二年	582
五五六年	556
四二〇年	420
二八〇年	280
五八一年	581
五五八年	558
國立臺灣大學	Universidad de Taiwán
國立中山大學	Universidad Nacional Sun Yat-sen
東干語	Idioma dungano
客家語	Chino hakka
切羅基語	Idioma cheroqui
羅素悖論	Paradoja de Russell
五六九年	569
贛語	Chino gan
爪哇語	Idioma javanés
司馬光	Sima Guang
滿語	Idioma manchú
弧度	Radián
五五三年	553
三〇七年	307
五八四年	584
杜甫	Du Fu
人口	Población
瓦爾帕萊索	Valparaíso
青銅	Bronce
情報及特殊使命局	Mosad
尼亞加拉瀑布	Cataratas del Niágara
吳語	Chino wu
昭和天皇	Hirohito
基地組織	Al Qaeda
穆罕默德二世	Mehmed II
希臘神話	Mitología griega
秦	Estado Qin
新疆維吾爾族自治區	Sinkiang
郵局	Oficina de Correos
萬國首都全覽	Anexo:Capitales de Estado
周	Dinastía Zhou
形而上學	Metafísica
白宮	Casa Blanca
北海道	Hokkaidō
科科斯（基林）群島	Islas Cocos
胡志明	Hồ Chí Minh
蘇軾	Su Shi
明尼阿波利斯	Minneapolis
集	Conjunto
順化市	Huế
閩東語	Min Dong
閩南語	Chino min nan
離子	Ion
壯族	Etnia zhuang
南斯拉夫	Yugoslavia
長毛象	Mammuthus
四邊形	Cuadrilátero
三船敏郎	Toshirō Mifune
文言	Chino clásico
線	Recta
甲烷	Metano
孫武	Sun Tzu
中央情報局	Agencia Central de Inteligencia
語法學	Sintaxis
聯合國安全理事會	Consejo de Seguridad de las Naciones Unidas
眼鏡	Gafas
火柴	Fósforo (utensilio)
多邊形	Polígono (geometría)
市場	Mercado
南海	Mar de la China Meridional
朝鮮世宗	Sejong el Grande
俳句	Haiku
黃海	Mar Amarillo
今上天皇	Akihito
橫濱市	Yokohama
普魯士	Prusia
前四年	4 a. C.
柳州市	Liuzhou
皇帝	Emperador
索契	Sochi
壓強	Presión
龍貓	Mi vecino Totoro
线粒体	Mitocondria
號	Nombre de estilo
吠陀	Vedas
橢圓	Elipse
杠杆	Palanca
自由亞洲電臺	Radio Free Asia
蟹	Brachyura
前九十年	90 a. C.
酸鹼度	PH
美國革命	Guerra de Independencia de los Estados Unidos
安徽省	Anhui
前九十一年	91 a. C.
忠清北道	Chungcheong del Norte
忠清南道	Chungcheong del Sur
內蒙古自治區	Mongolia Interior
金日成	Kim Il-sung
慶尚南道	Gyeongsang del Sur
慶尚北道	Gyeongsang del Norte
全羅北道	Jeolla del Norte
全羅南道	Jeolla del Sur
濟州特別自治道	Jeju
鬱陵島	Ulleungdo
巴別塔	Torre de Babel
蔚山廣域市	Ulsan
光州廣域市	Gwangju
一元二次方程	Ecuación de segundo grado
李斯特	Franz Liszt
美式足球	Fútbol americano
前八十七年	87 a. C.
哥德爾	Kurt Gödel
摩爾	Mol
華國鋒	Hua Guofeng
烷烴	Alcano
希爾伯特	David Hilbert
前九十五年	95 a. C.
黃金分割	Número áureo
福建省	Fujian
班夫國家公園	Parque nacional Banff
查士丁尼一世	Justiniano I
前七十四年	74 a. C.
慶州市	Gyeongju
安東市	Andong
尚州市	Sangju
阿貝爾·塔斯曼	Abel Tasman
海南省	Hainan
功	Trabajo (física)
漢語拼音	Pinyin
莽原氣候	Sabana
甘肅省	Gansu
蘇州市	Suzhou
溫州市	Wenzhou
無錫市	Wuxi
湖州市	Huzhou
紹興市	Shaoxing
崑山市	Kunshan
寧波市	Ningbo
紙鳶	Cometa (juego)
前二〇一年	201 a. C.
前二〇二年	202 a. C.
哈爾濱市	Harbin
油	Aceite
拓撲學	Topología
文身	Tatuaje
金融學	Finanzas
雲南省	Yunnan
多項式	Polinomio
山東省	Shandong
中南半島	Indochina
天擇	Selección natural
地質年代	Escala temporal geológica
壟斷	Monopolio
河南省	Henan
遼寧省	Liaoning
席德	Rodrigo Díaz de Vivar
刳剔者傑克	Jack el Destripador
前一五六年	156 a. C.
列奧尼達一世	Leónidas I
前一三九年	139 a. C.
前一二二年	122 a. C.
前二〇六年	206 a. C.
西爾門·拉什迪	Salman Rushdie
前二〇三年	203 a. C.
化學鍵	Enlace químico
槍	Lanza
前一四一年	141 a. C.
僧院	Monasterio
白堊紀	Cretácico
前二〇九年	209 a. C.
皮薩羅	Francisco Pizarro
點	Punto (geometría)
骰子	Dado
吉林省	Jilin
東海	Mar de China Oriental
前二三二年	232 a. C.
湖南省	Hunan
青海省	Qinghai
前一九七年	197 a. C.
前二〇七年	207 a. C.
前一八八年	188 a. C.
矢	Flecha
前二〇五年	205 a. C.
鮨	Sushi
前二〇八年	208 a. C.
湖北省	Hubei
山西省	Shanxi
魔方	Cubo de Rubik
伊洛瓦底省	Ayeyarwady
貴州省	Guizhou
京都議定書	Protocolo de Kioto sobre el cambio climático
聯合國大會	Asamblea General de las Naciones Unidas
