ཨ་ཧྥེ་རི་ཁ།	África
གཱ་ལི་ལེའོ་གཱ་ལི་ལེའི།	Galileo Galilei
ལྷག་པ།	Mercurio (planeta)
ལོ་རྒྱུས།	Historia
པ་སངས།	Venus (planeta)
སྐད་རིགས།	Lenguaje
བརྩེ་དུང་།	Amor
ཕུར་བུ།	Júpiter (planeta)
སྐར་མ་གནམ་རྒྱལ།	Urano (planeta)
ནི་ཀོ་ལ་ས་ར་ཀོ་ཟི།	Nicolas Sarkozy
སྐར་མ་མཚོ་རྒྱལ།	Neptuno (planeta)
སེང་ག་ཕོར།	Singapur
ཚན་རིག	Ciencia
མིར་ཡམ །	María (madre de Jesús)
ལི་ཆེ་ཏན་སཏིན།	Liechtenstein
ལུས་རྩལ།	Deporte
ཨྰ་སྦྲོལ་ཧྥུ་ཧི་ཐུ་ལུར།	Adolf Hitler
འཛམ་གླིང་འཁྲུག་ཆེན་དང་པོ།	Primera Guerra Mundial
འཛམ་གླིང་འཁྲུག་ཆེན་གཉིས་པ་	Segunda Guerra Mundial
ཧྥུ་ཐ་ཅ་ཨ་རག	Vodka
སི་ཀོཔ་ཇི།	Skopie
རྩིས་རིག	Matemáticas
ལ་ཏིན་སྐད།	Latín
བྷཧ་རཡིན།	Baréin
ཨར་མེ་ནི་ཡ།	Armenia
སེར་བྷི་ཡ།	Serbia
ཟླ་བ།	Luna
ཨོ་སེ་ཐེ་ལི་ཡ།	Australia
དངོས་ཁམས་རིག་པ་	Física
ཨར་ཇེན་ཊི་ན།	Argentina
པེ་རུ།	Perú
སྐྱེ་དངོས་རིག་པ།	Biología
བྱང་ཀོ་རི་ཡ།	Corea del Norte
ཁམ་པོ་ཛ།	Camboya
ཁུ་རན་གསུང་རབ།	Corán
དབྱི་སི་ལམ་ཆོས་ལུགས།	Islam
ལི་པོ་ཡ་ན།	Liubliana
རྩི་ཤིང་རིག་པ།	Botánica
ལིས་ཆི་ཝེ་ལིས་ས།	Lech Wałęsa
འཁོར་ལོ།	Rueda
༄༅།། རིག་གནས་ཤེས་བྱ་ཀུན་ཁྱབ།	L'Encyclopédie
ཏེའུ་ཏེ་རོ།	Denis Diderot
ཞི་བདེ།	Paz
ལི་ཡོང་།	Lyon
བུད་མེད།	Mujer
སོ་ཧྥི་ཡ།	Sofía
ཐང་རྗི་ཁོཏ།	Don Quijote de la Mancha
སྙན་ངག	Poesía
མི་ལཱན།	Milán
ཁྱིམ་དྲན་སེམས་ནད།	Memoria (proceso)
ཊུ་རིན།	Turín
ལེ་མོན།	Citrus × limon
མེ་ཏོག	Flor
ཇོ་མོ་གླང་མ།	Monte Everest
གཤག་བཅོས་རིག་པ།	Anatomía
གྲོང་ཁྱེར།	Ciudad
ཝེ་སུའུ་ཝེའོ་མེ་རི།	Monte Vesubio
ཉི་མ།	Sol
གྲོང་ཚོ།	Pueblo (población rural)
རྒྱ་མཚོ་ཆེན་པོའི་གླིང་ཆེན།	Oceanía
ཉི་མའི་ཁྱིམ་རྒྱུད།	Sistema Solar
ཨན་ཇེ་ལ་མེར་ཁེལ།	Angela Merkel
ཉིན་མོ།	Día
ཤར་ཏིམོར།	Timor Oriental
དགོང་མོ།	Noche
ལོ་	Año
རེན་གཙང་པོ།	Rin
ཨོ་སི་ལོ།	Oslo
བྷོ་ཨིན།	Bonn
ནག་ཁུང་།	Agujero negro
ལི་སི་བཱོན།	Lisboa
ལུའོ་ནེའུ་གཙང་པོ།	Ródano
མིའི་རིགས་ཀྱི་ཆགས་སྦྱོར་གྱི་བྱ་སྤྱོད།	Comportamiento sexual humano
ཧྥོར་ཅཱ་གཙང་པོ།	Volga
གསོ་རླུང་།	Oxígeno
གཡོ་སྐར།	Planeta
རོལ་དབྱངས།	Música
ཝེ་ནེ་ཟི་ཡ།	Venecia
པོ་གཙང་པོ།	Po
མོ་སི་ཁོ།	Moscú
ཨི་ཏ་ལིའི་སྐད།	Idioma italiano
སན་པི་ཏི་པོག	San Petersburgo
ཆཱ་ཌ།	Chad
བྱང་ཕྱོགས།	Norte
ནིའུ་ཛི་ལེན་ཌི།	Nueva Zelanda
རྒྱ་གར།	India
ཏུ་ཝ་ལུ།	Tuvalu
ཚིག་ལྷུག	Prosa
ཊོང་ག	Tonga
ནུབ་ཕྱོགས།	Oeste
ས་མོའ།	Samoa
ཤར་ཕྱོགས།	Este
སོ་ལོ་མོན་གླིང་ཕྲན་ཚོ་ཁག	Islas Salomón
ཝ་ནུའ་ཏུ།	Vanuatu
མོའོ་ལིས་ཨེར།	Molière
པ་པུ་འ་ནིའུ་གི་ནེ།	Papúa Nueva Guinea
ཞེ་ཁུ་སི་པེར།	William Shakespeare
པ་ལའུ།	Palaos
ནའུ་རུ།	Nauru
མའི་ཀོ་རོ་ནེ་ཤི་ཡ། (རྒྱལ་ཁབ།)	Estados Federados de Micronesia
མར་ཤལ་གླིང་ཕྲན་རྒྱལ་ཁབ།	Islas Marshall
ཀི་རི་བ་ཏི།	Kiribati
སོག་ཡུལ།	Mongolia
ཧྥི་ཇི།	Fiyi
ཝེ་ནེ་ཟུའེ་ལ།	Venezuela
རྒྱལ་སྤྱིའི་མིག་མངས།	Ajedrez
རྟ།	Equus ferus caballus
ཨེམ་སི་ཊར་ཌམ།	Ámsterdam
མཚོན་ཆ།	Arma
སུ་རི་ནེམ།	Surinam
པ་ར་གུ་ཡེ།	Paraguay
གུ་ཡ་ན།	Guyana
སྒྱུ་རྩལ།	Arte
ཨེ་ཁོའོ་ཌོར།	Ecuador
ཁོ་ལོམ་བི་ཡ།	Colombia
ནང་བསྟན།	Budismo
བྷོ་ལི་ཝི་ཡ།	Bolivia
ཏྲི་ནི་ཌད་དང་ཏྲོ་བེ་གོ	Trinidad y Tobago
སེན་ཊི་བིན་སེན་ཊི་དང་གི་རི་ན་ཌིན་སི།	San Vicente y las Granadinas
ནེའུ་ཧམ་ཕུ་ཤར།	Nuevo Hampshire
སེན་ཊ་ལུ་ཤི་ཡ།	Santa Lucía
ལེ་ཨོ་ན་ཏོ་ཏ་ཧྥིན་ཆི།	Leonardo da Vinci
སེན་ཊི་ཀི་ཊི་སི་དང་ནེ་བི་སི།	San Cristóbal y Nieves
ཇ་མའི་ཀ	Jamaica
གི་རི་ན་ཌ། (རྒྱལ་ཁབ།)	Granada (país)
གུ་ཝེ་ཐི་མ་ལ།	Guatemala
བ་ཧ་མཱ་སི།	Bahamas
བྱ་ཏེ་	Gallus gallus domesticus
ཨེན་ཊི་གུའ་དང་བར་བུ་ཌ།	Antigua y Barbuda
ཧ་ཝ་ཡི།	Hawái
ཧོང་དུ་ར་སི།	Honduras
ཌོ་མི་ནི་ཀ	Dominica
ཌོ་མི་ནི་ཀན་སྤྱི་མཐུན་རྒྱལ་ཁབ།	República Dominicana
ཕག་པ།	Sus scrofa domestica
ཧའི་ཏི།	Haití
ཨིལ་སལ་ཝ་ཌོར།	El Salvador
ཡི་ལང་།	Irán
ཡི་ལའ་ཁོ།	Irak
ཁོ་ས་ཏ་རི་ཁ	Costa Rica
ཨི་སི་ར་ཨེལ།	Israel
པ་ན་མ།	Panamá
ཡེ་མེན།	Yemen
ཕོ་ལན་སྐད།	Idioma polaco
རྗོར་ཌན།	Jordania
ནི་ཀ་ར་གུ་ཝ།	Nicaragua
ཧྥོ་ལོ་རི་ཌ།	Florida
ཀེ་རེ་གེཛུ་སུཏེན།	Kirguistán
ཨྰ་རི་ཟོ་ནྰ།	Arizona
ཁུ་ཝི་ཐི།	Kuwait
ལའོ་སུ།	Laos
ལེ་པ་ནོན།	Líbano
མལ་དི་ཝེསུ།	Maldivas
ཨ་མེ་རི་ཁ་གླིང་ཆེན།	América
ཡུ་ཊ།	Utah
གླང་གོག་	Bos primigenius taurus
མ་ལ་ཤི་ཡ།	Malasia
བྷར་མ།	Birmania
བལ་ཡུལ།	Nepal
ཨོ་མན།	Omán
པ་ཀི་སི་ཐན	Pakistán
ཁ་ཏར།	Catar
ཏན་ནེ་སི་སྤོ་ལོ།	Tenis
སའུ་དི་ཨ་ར་པི་ཡ།	Arabia Saudita
སེང་ག་གླིང་།	Sri Lanka
སི་རི་ཡ།	Siria
ཕི་ལ་ཐོན།	Platón
ཐ་ཇི་ཁེ་སི་ཏན།	Tayikistán
ཐའེ་ཝན།	República de China
ཐའི་ལེན།	Tailandia
མེ་འཁོར།	Tren
ཏུརཀ་མེ་ནི་སུཏན།	Turkmenistán
ཡི་ནེ་ཁྲེ་ཀྲི་ཨ་རབ་ཨེ་མེ་རེ་ཁྲི།	Emiratos Árabes Unidos
ཝི་ཏི་ནམ།	Vietnam
ཤར་ལི་ཤ་པི་ལིན།	Charles Chaplin
ལྷོ་ཀོ་རི་ཡ།	Corea del Sur
སིམ་བུ་སན།	Los Simpson
ཨ་ཧྥུའུ་རྒན་སི་ཐན།	Afganistán
བྷང་ལ་རྡེ་ཤུ།	Bangladés
མ་ལི།	Malí
ཨང་གོ་ལ།	Angola
འབྲུག་ཡུལ།	Bután
བྷི་རུ་ནི།	Brunéi
ཏན་ཛ་ནི་ཡ།	Tanzania
ཧྥི་ལི་པིན།	Filipinas
དབུས་ཨ་ཧྥེ་རི་ཁན་རི་པཔ་ལིཀ།	República Centroafricana
སེར་པོ།	Amarillo
ཊོ་གོ	Togo
ཏུ་ནི་ཤི་ཡ།	Túnez
ཛམ་བི་ཡ།	Zambia
ཛིམ་བབ་ཝི།	Zimbabue
པེ་ཅིང་གྲོང་ཁྱེར།	Pekín
བེ་ནིན།	Benín
བྷོ་ཙི་ཝ་ན།	Botsuana
བུར་ཀི་ན་ཕ་སོ།	Burkina Faso
བུ་རུན་ཌི།	Burundi
ཁོ་མོ་རོ་སུ།	Comoras
ཀོང་གོ་སྤྱི་མཐུན་རྒྱལ་ཁབ།	República del Congo
ཀོང་གོ་མི་དམངས་དམངས་གཙོ།	República Democrática del Congo
ཇི་བའོ་ཊི།	Yibuti
ཨི་ཁུའ་ཊོ་རལ་གི་ནེ།	Guinea Ecuatorial
ཨི་རི་ཏྲའ།	Eritrea
ནེའུ་དིལ་ལི།	Nueva Delhi
ཁྲེ་བྷི་ལི་སི།	Tiflis
གེ་བོན།	Gabón
གེམ་བྷི་ཡ།	Gambia
གི་ནེ།	Guinea
གི་ནེ་-བི་སའོ།	Guinea-Bisáu
ཀོ་ཊི་ཌི་ཨའི་བོ་རི།	Costa de Marfil
ཁམ་མུ་རོན།	Camerún
ཁེབ་ཝར་ཌི།	Cabo Verde
ལི་སོ་ཐོ།	Lesoto
ལི་བེ་རི་ཡ།	Liberia
ལི་པི་ཡ།	Libia
མ་ད་གཱ་སི་ཀར།	Madagascar
མ་ལ་ཝི།	Malaui
མའུ་རི་ཏ་ནི་ཡ།	Mauritania
མའུ་རི་ཊིའུ་སུ།	Mauricio
མོ་རོ་ཁོ།	Marruecos
མོ་ཛམ་བིཀ།	Mozambique
ན་མི་བྷི་ཡ།	Namibia
ནི་ཇར།	Níger
ནི་ཇི་རི་ཡ།	Nigeria
ཨུ་གན་ད།	Uganda
རུ་ཝན་ཌ།	Ruanda
སའོ་ཊོ་མེ་དང་པི་རིན་སི་པ།	Santo Tomé y Príncipe
སི་ནི་གཱལ།	Senegal
སེ་ཞེལ།	Seychelles
སི་ར་ལེ་ཨོན།	Sierra Leona
སོ་མ་ལི།	Somalia
ཡིའུ་ལི་ཝུའུ་སི་ཁའེ་ས།	Julio César
སུའུ་ཏན།	Sudán
སུ་ཝ་ཛི་ལནཌ།	Suazilandia
འཇའ།	Arco iris
གྷུ་ཇ་རཱཏ།	Guyarat
མཉམ་འབྲེལ་རྒྱལ་ཚོགས།	Organización de las Naciones Unidas
ཏན་ཐེ།	Dante Alighieri
ས་ཁམས་རིག་པ།	Geografía
པུ་ལ་ཁེ།	Praga
སྔོན་པོ།	Azul
འབོམ་སྦེ	Bombay
ཨཱན་དྷ་ར་མངའ་སྡེ།	Andhra Pradesh
ཨ་རུ་ནཱ་ཅལ་མངའ་སྡེ།	Arunachal Pradesh
ཨཱསཱམ།	Assam
སྦི་ཧཱར།	Bihar
མི་ཅི་གྷན།	Míchigan
ཆར་ཊི་སི་གྷར།	Chhattisgarh
གྷོའ།	Goa
ཧ་རི་ཡཱ་ཎཱ།	Haryana
ཧི་མ་ཅལ་མངའ་སྡེ།	Himachal Pradesh
ཇ་མུ་དང་ཀ་ཤི་མིར།	Jammu y Cachemira
རྗར་ཁན་ཌི།	Jharkhand
ཁར་ན་ཀྲ་ཁཱ།	Karnataka
ཀེ་ར་ལཱ།	Kerala
མཱ་ནི་པུར།	Manipur
མོན་ཏཱ་ན།	Montana
ཝ་ཡོ་མིང་།	Wyoming
ཇེ་རུ་ས་ལེམ།	Jerusalén
ཝ་ཤིན་ཏྲོན། (རྒྱལ་ཁབ།)	Washington (estado)
ནེ་བ་ད།	Nevada
ཏོན་གཙང་པོ།	Río Don
ཝེ་ནེ་ཏོ།	Véneto
ཁོ་སོ་ཝོ།	Kosovo
ཁོ་ལོ་ར་ཌོ།	Colorado
ཁོ་ལོ་ར་ཌོ་གཙང་པོ།	Río Colorado
Category:རིགས།	Categoría:Índice de categorías
ཕི་ལེ་ཟི་ཕ་སི་ཁལ།	Blaise Pascal
མཆོང་སྒྲིག་མིག་མངས།	Damas
དགུན་ཁ།	Invierno
དཔྱིད།	Primavera
དབྱར་ཁ།	Verano
སྟོན་ཁ།	Otoño
སེ་པན་སྐད།	Idioma español
མཱོན་ཊི་ཝི་ཌོ།	Montevideo
ཀ་ལི་ཀུ་ཏ	Calcuta
དྷ་ཁ།	Daca
ཨི་སི་ལམ་བོ།	Islamabad
ཤིང་ཏོག	Fruto
སྤྲེའུ།	Mono
དངུལ་ལོར།	Dinero
ཝིར་ཇི་ནི་ཡ།	Virginia
མ་རིས་ལེན་ཌ།	Maryland
དྷེའི་ལ་ཝར།	Delaware
ལེ་ཉིན།	Lenin
ཨོ་ཧེའོ།	Ohio
བིར་སྒྲེལ།	Virgilio
ཕེན་སུལ་ཝེ་ནའི་ཡ།	Pensilvania
པོ་ཅ་ཆུའུ།	Giovanni Boccaccio
ཨའོ་ཀུའུ་སི་ཏུའུ།	César Augusto
ནེའུ་ཇེར་སས།	Nueva Jersey
ཨིན་ཌི་ཡཱ་ན།	Indiana
འཇོར་ཇི་ཡ། (ཨ་མེ་རི་ཁ།)	Georgia (Estados Unidos)
མར་ཁུའུ་སེ་ཨའུ་རེ་ལིའུ་སེ།	Marco Aurelio
ཛག་རེབ།	Zagreb
ཋེག་ཟ་སི།	Texas
ཏཱ་མིལ་ན་ཌུ།	Tamil Nadu
ཁ་རོ་ལི་ན་ལྷོ་ཕྱོགས།	Carolina del Sur
སི་ཅི་ལི་ཡ།	Sicilia
མ་ནི་ལ།	Manila
ལུའུ་ཝར་གཙང་པོ།	Río Loira
སེ་ན་གཙང་པོ།	Río Sena
པུ་ཨེ་ནོ་སི་ཨས་རི་སི།	Buenos Aires
མེག་སི་ཀོ་གྲོང་།	México, D. F.
ཐོ་ཁེ་ཡོ།	Tokio
བྷར་སེ་ལོ་ནཱ།	Barcelona
ཐང་འབྲས།	Ananas comosus
མི་སི་སི་ཕི།	Misisipi
མི་སི་སི་ཕི་གཙང་པོ།	Río Misisipi
འབྲས་ལྗོངས།	Sikkim
ཐེན་ནེ་སི།	Tennessee
ཨ་པོའུ་དྷ་པེ།	Abu Dabi
ཨ་སི་ཐ་ན།	Astaná
མེག་སི་ཀོ་གསར་མ།	Nuevo México
ཨ་ཐེན།	Atenas
པ་ག་ཏ	Bagdad
ཁ་ར་ཁ་སི	Caracas
ཝིས་སི་ཁོན་སིན།	Wisconsin
ཡོ་བ།	Iowa
གུ་ཝེ་ཐི་མ་ལ་གྲོང་ཁྱེར།	Ciudad de Guatemala
ཁན་སཱ་སི།	Kansas
ཧ་ཝན	La Habana
རྒྱ་གར་སྐད།	Hindi
ཤོག་དྲིལ་དུ་བ།	Cigarrillo
ཚོགས་བདག	Ganesha
ལུའི་ཟི་ཨཱན་ནཱ།	Luisiana
ཨར་ཁན་སཱ་སི།	Arkansas
ཕའི་ཆིའུ་སྤོ་ལོ།	Voleibol
ཝི་ཨེ་ན།	Viena
ཁོ་ཕེན་ཧ་ཀེན།	Copenhague
སི་ཏོག་ཧོ་ལིམ།	Estocolmo
ཧེལ་སིན་ཀི།	Helsinki
དུབ་ལིན།	Dublín
རེཀ་ཇ་བིཀ།	Reikiavik
ཏཱལ་་ལིན།	Tallin
རི་ག	Riga
བ་ར་ཏིསི་ལ་བ།	Bratislava
བུ་ད་ཕེ་སིད།	Budapest
ལུ་སེམ་བའུརག (གྲོང་རྡལ།)	Luxemburgo (ciudad)
བ་དུ་ཛི།	Vaduz
གསུང་རབ།	Biblia
སན་མ་རི་ནོ། (གྲོང་རྡལ།)	San Marino (ciudad)
ཕོམ་ཕེན།	Nom Pen
ཧོ་ཀྲི་མིན་གྲོང་ཁྱེར།	Ciudad Ho Chi Minh
ཧེ་ནོ།	Hanói
སྟོན་པ་ཡེ་ཤུའི་ཆོས་ཚོགས།	Verdadera Iglesia de Jesús
དབྱིན་ཇིའི་སྐད།	Idioma inglés
པན་ཀོག	Bangkok
ཨན་ཌོར་ར་གྲོང་ཁྱེར།	Andorra la Vieja
ཁལ་ལུང་ཕུ།	Kuala Lumpur
ཐའེ་པེ	Taipéi
ཕྱི་འབྲིལ།	Diplomacia
ཀིབ།	Kiev
ཨོ་ཏ་ཝ།	Ottawa
ཡེ་རེ་ཝན།	Ereván
ཏ་རེ་སི་ས་ལམ།	Dar es-Salam
ཁར་ཏུམ།	Jartum
༢༠༠༩	2009
ཝེ་རོ་ན།	Verona
ཧྥུ་ལོ་རོན་ཟིའུ་ཡ།	Florencia
ཨེ་ཏི་མོན་ཐོན།	Edmonton
སྦྲུལ།	Serpentes
ཁ་ཐོག་གི་ཆགས་སྦྱོར།	Sexo oral
ཁོའོ་ལུ་ཧྲི།	Michel Colucci
ལུའོ་མུའུ་ལུའོ་སི་དང་རུའེ་མོ་སི།	Rómulo y Remo
ཞི་པི་ཨ་ཨ་ཧྥེ་རི་ཁ་ནུའོ་སི།	Publio Cornelio Escipión el Africano
མིན་སིཀ།	Minsk
རྫས་འགྱུར་རིག་པ།	Química
༡༩༨༩	1989
༡༩༨༡	1981
མོ་ག་དི་ཤུ།	Mogadiscio
ན་སའོ། (བ་ཧ་མཱ་སི།)	Nasáu
ས་ནཱ།	Saná
ཐ་ར་ཝ།	Tarawa
རྐང་རྩེད་སྤོ་ལོ།	Fútbol
ཡཱ་ཁོ་དང་ཝེ་ལེམ་.ཀོ་ལིམ།	Hermanos Grimm
མ་ད་རིད།	Madrid
ཁོལ་ཁོལ་ཁུ་ནག	Coca-Cola
མའེ་ཁོའོ་ཅས་ཁ་ཤུན།	Michael Jackson
ཚད་རིམས།	Gripe
པོ་གོ་ཏ	Bogotá
པུ་རུ་ཟི་ལི་ཡ།	Brasilia
ལི་མ།	Lima
སཱན་ཏི་ཡ་གོ (ཅི་ལི།)	Santiago de Chile
ཁེ་ཐོ།	Quito
སུ་ཁུ་རེ།	Sucre
ཨ་སུན་སི་འན།	Asunción
ར་མ།	Capra aegagrus hircus
ཝེ་ཧི་ས་ཡེ་ཕོ་བྲང་།	Palacio de Versalles
རང་དབང་།	Libertad
པེ་ར་མེ་རི་བོ།	Paramaribo
ཀ་ཏ་མན་ཏུ།	Katmandú
པེར་མོ་ཕན།	Belmopán
སན་ཇོ་སེ། (ཁོ་ས་ཏ་རི་ཁ།)	San José (Costa Rica)
སན་སལ་ཝ་ཌོར།	San Salvador
ཁན་པེ་ར།	Canberra
སིད་ནེ།	Sídney
ལྗང་ཁུ།	Verde
མེར་བུན	Melbourne
དམར་པོ།	Rojo
ཨ་ཝེ་རོང་།	Aveyron
ཐེ་གུ་སི་གེ་པ།	Tegucigalpa
མ་ན་གུ་འ།	Managua
པ་ན་མ། (གྲོང་རྡལ།)	Panamá (ciudad)
ཁོང་ཀོ་གཙང་པོ།	Río Congo
ར་བ་ཐེ།	Rabat
ཨཱལ་ཇི་ཡར་སི།	Argel
ཊུ་ནིསི།	Túnez (ciudad)
ཐི་རི་ཕོ་ལི	Trípoli
ཇི་བའོ་ཊི། (གྲོང་རྡལ།)	Yibuti (ciudad)
ཏེ་ཧི་རན།	Teherán
ཨ་ཌི་སི་ཨ་བ་བ།	Adís Abeba
ཊ་ཁར་ཏ།	Yakarta
ཨན་ཁ་ར།	Ankara
ཨཱ་སི་མི་ར།	Asmara
ཇ་མི་ན།	Yamena
ནི་ཡ་མེ།	Niamey
ནའུ་ཀ་ཅོ་ཊི།	Nuakchot
རིས་ཡག	Riad
བ་མ་ཀོ།	Bamako
བེལ་གེ་རེ་ཌི།	Belgrado
ཌ་ཀར།	Dakar
བཱན་ཇཱུ་ལ།	Banjul
ཀོ་ནཀ་རི།	Conakri
བི་སའོ།	Bisáu
Category:སྒྲོམ་གཞི།	Categoría:Wikipedia:Plantillas
མོང་རོ་ཝི་ཡ།	Monrovia
ཕུ་ར་ཡ།	Praia
ཇ་ཝ།	Java (isla)
ཨ་ཁ་ར།	Acra
དྷ་མ་སི་ཁོ་སི།	Damasco
ཡམ་སོ་ཁེ་རོ།	Yamusukro
ཨོ་འ་ག་དོའུ་གོའུ།	Uagadugú
ཕིརི་ཊའུན།	Freetown
ཡ་མ་སོན་གཙང་པོ།	Río Amazonas
ཨ་པུ་ཅ།	Abuya
ལཱོ་མེ།	Lomé
པོར་ཊོ་-ནོ་བོ།	Porto Novo
