ܐܦܪܝܩܐ	África
ܐܦܫܬܐ	Pasa
ܠܫܢܐ ܕܗܣܝܐܢܓ	Chino xiang
ܠܫܢܐ ܥܪܒܝܐ	Idioma árabe
ܠܫܢܐ ܐܦܪܝܩܐܢܝܐ	Afrikáans
Β	Β
Γ	Γ
Δ	Δ
Ε	Ε
Ζ	Ζ
Η	Η
Θ	Θ
Ι	Ι
Κ	Κ
Ν	Nu (Alfabeto Griego)
Ξ	Ξ
Ο	Ο
Ρ	Ρ
Σ	Σ
Τ	Τ
Υ	Υ
Χ	Χ
Ψ	Ψ
ܐܬܐ	Bandera
ܟܪܦܬܐ	Mobiliario
ܟܘܪܣܝܐ	Silla
ܣܦܬܐ	Labio
ܦܣܡܐ	Bigote
ܥܩܠܐ	Pie
1000000000 (ܡܢܝܢܐ)	Millardo
ܓܪܡܐ ܕܨܕܥܐ	Hueso temporal
ܩܠܝܕܐ (ܓܪܡܐ)	Clavícula
ܟܬܦܐ	Hombro
ܦܟܐ ܬܚܬܝܐ	Mandíbula
ܩܠܒܐ:Link FA	Plantilla:Destacado
ܥܠܡܐ (ܐܪܥܐ)	Mundo
ܘܝܩܝܦܕܝܐ:ܬܪܥܐ ܕܟܢܫܐ	Wikipedia:Café
ܒܝܪܡܘܢܬ	Vermont
ܩܘܣܛܢܛܝܢܘܦܘܠܝܣ	Constantinopla
ܒܝܬ ܟܪܝܗܐ	Hospital
ܥܕܬܐ	Iglesia (edificio)
ܕܝܬܝܩܝ ܚܕܬܐ	Nuevo Testamento
9 (ܡܢܝܢܐ)	Nueve
1002	1002
ܦܘܕܘܠܣܟ	Podolsk
ܦܐܦܐ	Papa
5	5
4	4
ܢܝܒܐ	Diente canino
3	3
2	2
ܒܝܬ ܥܬܩܐ ܕܠܘܒܪ	Museo del Louvre
ܓܒܐ ܕܚܐܪܘܬܐ ܕܦܘܐܪܛܘ ܪܝܩܘ	Partido Independentista Puertorriqueño
6	6
ܕܝܬܝܩܝ ܥܬܝܩܬܐ	Antiguo Testamento
ܥܐܕܐ ܕܒܝܬ ܝܠܕܐ	Navidad
ܠܫܢܐ ܪܘܡܐܢܣܝܐ	Lenguas romances
ܡܬܠܬܐ	Triángulo
ܫܢܬܐ ܟܒܝܫܬܐ	Año bisiesto
ܡܘܥܡܪ ܐܠܩܕܐܦܝ	Muamar el Gadafi
ب	ب
ܥܐܕܐ ܕܩܝܡܬܐ	Pascua
ܢܝܘ ܝܘܪܩ	Nueva York (desambiguación)
ܢܦܛܐ	Petróleo
ܣܐܘܢܐ	Zapato
ܒܝܬ ܥܘܪܦܢܐ	Banco
ܟܪܡܐ	Viña
ܐܝܪܠܢܕ (ܓܙܪܬܐ)	Irlanda (isla)
1	1
ܠܘ ܫܘܢ	Lu Xun
10	10
20	20
9	9
7	7
8	8
7 (ܡܢܝܢܐ)	Siete
8 (ܡܢܝܢܐ)	Ocho
12	12
ܡܠܐܐ ܘܬܘܒܐ	Marea
ܫܒܘܥܐ	Semana
ܓܠܝܕܐ	Hielo
ܨܠܘܬܐ ܡܪܢܝܬܐ	Padre nuestro
ܝܡܬܐ	Lago
ܝܡܐ ܣܘܡܩܐ	Mar Rojo
13	13
ܩܛܘܬܐ (ܝܥܝܬܐ)	Cucumis sativus
ܓܙܪܬܐ	Isla
ܚܘܪܐ	Blanco (color)
ܐܘܟܡܐ	Negro (color)
6 (ܡܢܝܢܐ)	Seis
ܠܫܢܐ ܪܘܫܡܝܐ	Idioma oficial
11	11
15	15
14	14
17	17
ܣܦܪ ܡܠܐ	Diccionario
18	18
19	19
16	16
21	21
ܦܠܣܛܝܢ	Palestina (región)
10 (ܡܢܝܢܐ)	Diez
ܡܣܘܪܩܐ (ܡܐܢܐ)	Peine
ܠܝܠܐ ܕܘܢܤ	Lila Downs
ܝܡܐ ܕܡܠܚܐ	Mar Muerto
ܫܘܚܠܦܐ ܕܫܢܬܐ	Estaciones del año
ܠܝܒܪܦܘܠ	Liverpool
ܩܘܦܬܐ (ܛܝܪܐ)	Strigiformes
ܫܥܬܐ	Hora
ܢܐܘܝ ܕܘܪ ܟܪܘܠܣܟܝ	Nowy Dwór Królewski
ܐܪܙܦܬܐ	Martillo
ܝܘܢܫܘܦܝܢ	Jönköping
ܥܘܠܐ ܚܝܐ	Feto
ܐܠܦܒܝܬ ܐܪܡܝܐ	Alfabeto arameo
ܐܣܝܐ ܡܥܪܒܝܬܐ	Asia Occidental
ܙܡܪܐ	Canto
ܫܓܠܐ	Rayuela (juego)
ܡܙܬܐ	Pelo
ܠܫܢܐ ܐܪܡܝܐ	Lenguas arameas
ܨܦܪܐ (ܛܝܪܐ)	Passeridae
ܐܦܣܩܘܦܐ	Obispo
ܨܝܢ (ܐܪܥܐ)	China (región)
ܓܒܐ ܕܝܡܘܩܪܛܝܐ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	Partido Demócrata (Estados Unidos)
ܒܝܐܛܪܝܟܣ ܕܒܝܬ ܗܘܠܢܕܝܐ	Beatriz de los Países Bajos
ܡܠܟܘܬܐ ܕܗܘܠܢܕܐ	Reino de los Países Bajos
ܐܒܪܝܠ ܠܐܒܝܢ	Avril Lavigne
ܪܝܫ ܩܘܛܢܝܘܬܐ	Presidente
ܐܪܒܝܐ	Arabia
ܡܪܩܘܣ ܐܘܢܓܠܣܛܐ	Marcos el Evangelista
ܥܘܠܐ	Embrión
ܠܫܢܐ ܕܗܟܐ	Chino hakka
ܫܘܫܡܢܝܬܐ (ܝܥܝܬܐ)	Elettaria cardamomum
ܠܫܢܐ ܕܓܐܢ	Chino gan
ܒܝܬ ܥܬܩܐ	Museo
ܐܠܦܒܝܬ ܥܒܪܝܐ	Alfabeto hebreo
ܠܫܢܐ ܣܘܪܝܝܐ	Idioma siríaco
ܒܪܩܐ	Rayo
ܐܝܕܐ	Mano
ܫܡܥܘܢ ܟܐܦܐ	Simón Pedro
ܬܠ ܐܒܝܒ	Tel Aviv
ܒܐܠܦܐܪܐܝܣܘ	Valparaíso
ܠܫܢܐ ܫܝܡܝܐ	Lenguas semíticas
ܚܘܣܢܝ ܡܘܒܐܪܟ	Hosni Mubarak
ܘܐܟܐܩܐ	Oaxaca
ܚܐܘܬܐ	Mantequilla
ܐܘܢܓܠܝܘܢ	Evangelio
ܠܫܢܐ ܕܘܘ	Chino wu
ܪܘܛܪܕܐܡ	Róterdam
ܩܪܛܐ	Creta
ܐܘܪܚܐ	Carretera
ܩܘܪܨܐ ܚܠܝܨܐ	Disco compacto
ܨܒܥܐ	Dedo
ܦܪܬ	Éufrates
ܩܝܘܛܘ	Kioto
ܥܣܪܐ ܦܘܩܕܢܐ	Diez Mandamientos
ܒܪܩܩܐ ܦܪܣܝܐ	Golfo Pérsico
ܚܠܐ (ܕܚܝܚܐ)	Arena
ܘܪܕܐ	Rosa
ܓܙܪܬܐ ܝܒܫܢܝܬܐ	Península
ܐܘܪܝܬܐ	Torá
ܟܘܘܝܬ (ܡܕܝܢܬܐ)	Kuwait (ciudad)
ܡܚܙܝܬܐ	Espejo
ܥܡܐ ܥܪܒܝܐ	Pueblo árabe
ܟܘܬܐ	Ventana
ܠܫܢܐ ܝܘܢܝܐ ܥܬܝܩܐ	Griego antiguo
ܠܫܢܐ ܐܟܕܝܐ	Idioma acadio
ܕܩܠܬ	Tigris
ܐܬܪܘܬܐ ܕܐܬܪܘܬܐ ܡܚܝܕܐ ܕܐܡܪܝܩܐ	Estado de los Estados Unidos
ܡܥܡܘܕܝܬܐ	Bautismo
ܩܘܢܓܘ	Congo
ܐܝܢܛܪܠܝܢܓܘܐ	Interlingua
ܐܘܪܟܐ	Longitud
ܚܠܡܐ	Ensueño
ܠܫܢܐ ܩܪܕܘܝܐ	Idioma kurdo
ܩܡܚܐ	Harina
ܕܢ ܗܐܟ	La Haya
ܠܫܢܐ ܦܘܢܝܩܝܐ	Idioma fenicio
ܣܝܢܝ (ܓܙܪܬܐ ܝܒܫܢܝܬܐ)	Península del Sinaí
ܟܪܘܙܘܬܐ ܕܝܘܚܢܢ	Evangelio de Juan
ܬܪܥܐ (ܒܒܐ)	Puerta
ܪܝܗܐܢܐ	Rihanna
ܛܦܪܐ	Uña
ܐܦܐ	Cara
ܨܨܐ (ܨܢܥܬܐ)	Clavo (objeto)
ܙܝܬܐ	Olea europaea
ܬܠܝܬܝܘܬܐ	Santísima Trinidad
ܓܠܠܐ	Onda
ܟܬܒܬܐ	Escritura
ܪܘܚܐ ܕܩܘܕܫܐ	Espíritu Santo
100 (ܡܢܝܢܐ)	Cien
ܒܘܪܟܐ	Articulación de la rodilla
ܫܘܩܐ (ܬܐܓܪܘܬܐ)	Mercado
ܠܫܢܐ ܥܪܒܝܐ ܝܗܘܕܝܐ	Judeoárabe
ܒܠܛܝ	Bălți
1000000 (ܡܢܝܢܐ)	Millón
ܛܐܒܐ	Noticia
ܐܫܬܐ (ܐܣܝܘܬܐ)	Fiebre
ܩܫܬܐ ܓܪܒܝܝܬܐ ܕܐܪܥܐ	Hemisferio norte
ܡܡܘܢܐ ܕܡܝܟܪܐ	Microeconomía
ܠܝܕܣ	Leeds
ܥܘܩܒܪܐ	Mus (animal)
ܦܘܪܬܩܠܐ	Naranja (color)
ܒܪܩܩܐ	Bahía
ܒܝܬ ܩܒܘܪܐ	Cementerio
ܐܣܝܐ (ܫܕܬܐ)	Médico
ܡܩܕܘܢܝܐ	Macedonia
ܦܢܛܝܩܘܣܛܝ	Pentecostés
ܫܓܕܬܐ	Prunus dulcis
ܟܪܘܙܘܬܐ ܕܠܘܩܐ	Evangelio de Lucas
ܩܘܢܣܦܣܝܘܢ (ܗܘܦܪܟܝܐ)	Provincia de Concepción (Chile)
ܢܗܪܐ ܕܝܘܪܕܢܢ	Río Jordán
ܣܦܪ ܝܡܐ	Playa
ܐܢܛܐܠܝܐ (ܗܘܦܪܟܝܐ)	Provincia de Antalya
ܦܪܟܣܝܣ ܕܫܠܝܚܐ	Hechos de los Apóstoles
ܥܪܘܒܬܐ ܕܚܫܐ	Viernes Santo
ܚܒܘܫܝܐ	Prisión
ܐܕܢܐ (ܗܘܦܪܟܝܐ)	Provincia de Adana
ܝܘܚܢܢ ܡܥܡܕܢܐ	Juan el Bautista
ܨܠܝܒܐ	Cruz
ܚܙܒܐܠܠܗ	Hezbolá
ܒܝܬ ܓܒܝܢܐ	Frente (anatomía)
ܡܙܡܘܪܐ	Libro de los Salmos
ܐܬܘܪ	Asiria
ܒܢܝܢܐ	Edificio
ܚܠܒ (ܡܕܝܢܬܐ)	Alepo
ܩܫܬܐ ܬܝܡܢܝܬܐ ܕܐܪܥܐ	Hemisferio sur
ܚܠܐ (ܚܡܪܐ)	Vinagre
ܒܝܬ ܕܝܢܐ	Tribunal de justicia
ܚܝܦܐ	Haifa
ܪܡܕܐܢ	Ramadán
ܫܛܪܐ ܬܐܒܝܠܝܐ ܕܓܝܢܝܣ	Libro Guinness de los récords
ܟܘܕܢܝܐ	Mula (animal)
ܒܪܩܩܐ ܕܥܕܢ	Golfo de Adén
ܓܠܝܢܐ ܕܝܘܚܢܢ	Apocalipsis
ܐܫܬܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Nalga
ܨܠܘܬܐ ܡܪܝܡܝܬܐ	Avemaría
ܝܩܕܐ	Combustible
ܝܨܝܠܐ	Articulación del codo
ܟܗܢܐ	Sacerdote
ܕܩܢܐ	Barba
ܢܒܝܐ	Profeta
ܐܘܪܟܝܣܛܪܐ	Orquesta
1000 (ܡܢܝܢܐ)	Mil
ܣܘܦܝܐ ܪܘܛܐܪܘ	Sofia Rotaru
ܬܫܢܝܬܐ	Seguro
ܛܘܟܣܐ	Organización
ܣܦܪܓܠܐ	Cydonia oblonga
ܐܢܕܪܐܘܣ ܫܠܝܚܐ	Andrés el Apóstol
ܬܪܥܣܪ ܫܠܝܚܐ	Apóstol
ܢܩܒܬܐ	Hembra
ܕܪܥܐ (ܗܕܡܐ)	Brazo
ܡܬܝ ܡܟܣܐ	Mateo el Evangelista
ܬܐܘܡܐ ܫܠܝܚܐ	Tomás el Apóstol
ܦܝܠܝܦܘܣ ܫܠܝܚܐ	Felipe el Apóstol
ܒܘܪܨܐ (ܗܘܦܪܟܝܐ)	Provincia de Bursa
ܐܝܘܐܢܢܝܣ ܦܘܡܐ ܕܕܗܒܐ	Juan Crisóstomo
ܒܢܝܡܝܢ ܢܬܢܝܗܘ	Benjamín Netanyahu
ܐܪܬܒܝܢ (ܗܘܦܪܟܝܐ)	Provincia de Artvin
ܓܒܝܢܐ	Ceja
ܫܘܪܬܐ	Ombligo
ܐܕܝܐܡܐܢ (ܗܘܦܪܟܝܐ)	Provincia de Adıyaman
ܝܗܘܕܐ ܫܠܝܚܐ	Judas Tadeo
ܒܪܬܘܠܡܝ ܫܠܝܚܐ	Bartolomé el Apóstol
ܝܥܩܘܒ ܒܪ ܙܒܕܝ	Santiago el Mayor
ܝܘܚܢܢ ܫܠܝܚܐ	Juan el Apóstol
ܡܬܝܐ ܫܠܝܚܐ	Matías el Apóstol
ܝܥܩܘܒ ܒܪ ܚܠܦܝ	Santiago el Menor
ܕܟܪܐ	Masculino
ܐܝܓܢܐܛܝܘܣ ܢܘܪܢܐ	Ignacio de Antioquía
ܪܕܝܘܗܕ	Radiohead
ܒܫܐܪ ܐܠܐܣܕ	Bashar al-Asad
ܪܚܝܐ	Molino
ܨܘܡܐ	Ayuno
ܕܝܪܐ	Monasterio
ܠܡܐܢܐ	Puerto
ܡܠܚܐ (ܢܘܛܐ)	Marino
ܐܦܝܘܢ (ܗܘܦܪܟܝܐ)	Provincia de Afyonkarahisar
ܡܝܟܐܝܠ (ܡܠܐܟܐ)	Arcángel Miguel
ܒܝܠܓܝܟ (ܗܘܦܪܟܝܐ)	Provincia de Bilecik
ܒܝܬ ܥܬܩܐ ܕܐܣܪܐܝܠ	Museo de Israel
ܒܐܠܝܟܣܝܪ (ܗܘܦܪܟܝܐ)	Provincia de Balıkesir
ܒܝܬ ܝܠܕܐ	Cumpleaños
ܬܘܠܥܐ	Gusano
ܬܘܩܢ ܓܝܕܝܐ ܩܢܛܪܘܢܝܐ	Sistema nervioso central
ܛܘܪܐ ܕܓܠܝܕܐ	Iceberg
ܢܢܥܐ	Mentha
ܩܠܒܐ:Commonscat	Plantilla:Commonscat
ܒܨܪܐ (ܡܕܝܢܬܐ)	Basora
ܐܓܪܬܐ ܕܠܘܬ ܪܗܘܡܝܐ	Epístola a los romanos
ܬܡܪܐ ܕܥܝܢܐ	Párpado
ܡܪܝ ܓܝܘܪܓܝܣ ܣܗܕܐ	Jorge de Capadocia
ܐܣܘܬܐ ܕܠܐ ܬܚܘܡܐ	Médicos Sin Fronteras
ܐܪܙܐ (ܡܫܝܚܝܘܬܐ)	Sacramento
ܐܓܪܬܐ ܕܠܘܬ ܦܝܠܝܦܣܝܐ	Epístola a los filipenses
ܐܢܛܘܠܝܐ	Anatolia
ܡܫܝܚܐ	Mesías
ܚܫܡܝܬܐ ܐܚܪܝܬܐ	La Última Cena
ܒܢܝ ܐܝܣܪܐܝܠ	Tribus de Israel
ܡܓܘܫܐ ܬܠܬܐ	Reyes Magos
ܝܘܚܢܢ ܕܪܡܣܘܩܝܐ	Juan Damasceno
ܒܒܐ (ܬܪܥܐ)	Verja
ܣܕܪܐ:ܡܠܟܐ	Categoría:Reyes
ܣܕܪܐ:ܪܘܟܒ ܫܘܠܛܢܘܬܐ	Categoría:Formas de estado
ܠܫܢܐ ܕܡܝܢ	Chino min
ܥܘܪܡܫܐ	Contaminación
ܒܒܠ (ܗܘܦܪܟܝܐ)	Gobernación de Babilonia
ܫܘܡܪܐ	Hollín
ܐܫܩܠܘܢ	Ascalón
ܕܘܢܒܐ	Cola
ܩܐܕܣܝܐ (ܗܘܦܪܟܝܐ)	Cadisia
ܡܪܝܡ ܡܓܕܠܝܬܐ	María Magdalena
ܡܪܪܬܐ	Vesícula biliar
ܥܕܬܐ ܟܠܕܝܬܐ ܩܬܘܠܝܩܝܬܐ	Iglesia católica caldea
ܥܕܬܐ ܡܪܘܢܝܬܐ	Iglesia católica maronita
ܡܪܬܐ	Bilis
ܩܘܪܒܢܐ	Eucaristía
ܐܕܡ	Adán
ܐܘܘܫܐ	Cerumen
ܕܡܥܬܐ	Lágrima
ܝܘܗܐܢ ܐܠܙܪ	Georg Elser
ܒܝܢܓܘܠ (ܗܘܦܪܟܝܐ)	Provincia de Bingöl
ܥܡܐ ܐܪܡܢܝܐ	Pueblo armenio
ܐܝܕܝܢ (ܗܘܦܪܟܝܐ)	Provincia de Aydin
ܩܛܠܥܡܐ ܐܪܡܢܝܐ	Genocidio armenio
ܐܡܐܣܝܐ (ܗܘܦܪܟܝܐ)	Provincia de Amasya
ܦܪܝܙܘܢ ܒܪܝܟ	Prison Break
ܐܓܪܝ (ܗܘܦܪܟܝܐ)	Provincia de Ağrı
ܒܘܪܕܘܪ (ܗܘܦܪܟܝܐ)	Provincia de Burdur
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܩܘܪܢܬܝܐ	Primera epístola a los corintios
ܝܗܘܕܐ ܣܟܪܝܘܛܐ	Judas Iscariote
ܐܒܪܐ	Pluma
ܚܪܛܘܡܢܐ	Cicer arietinum
ܐܬܪܘܬܐ ܕܫܐܡ	Levante mediterráneo
ܬܪܘܕܐ	Cuchara
ܓܒܪܐܝܠ (ܡܠܐܟܐ)	Arcángel Gabriel
ܓܪܡܦܝܠܐ	Marfil
ܨܘܪ	Tiro
ܒܘܠܘ (ܗܘܦܪܟܝܐ)	Provincia de Bolu
ܙܢܩܐ	Barbilla
ܨܘܡܐ ܕܐܪܒܥܝܢ	Cuaresma
ܐܓܪܐ ܕܒܢܝܢܐ	Cubierta (construcción)
ܒܝܛܠܝܣ (ܗܘܦܪܟܝܐ)	Provincia de Bitlis
ܓܠܝܠܐ	Galilea
ܪܥܡܐ	Trueno
ܡܘܨܠ	Mosul
ܟܪܬܐ	Dedo pulgar
ܥܡܐ ܛܘܪܩܝܐ	Turcos
ܦܐܦܐ ܫܢܘܕܐ ܬܠܝܬܝܐ	Shenouda III
ܒܝܬ ܓܘܣܐ	Búnker
ܒܝܥܬܐ	Huevo (alimento)
ܒܣܕܝܐ	Almohada
ܙܓܐ (ܢܩܘܫܐ)	Campana (instrumento)
ܫܒܬܐ (ܝܗܘܕܝܘܬܐ)	Sabbat
ܫܡܝܪܡ	Semíramis
ܫܝܓܪܐ	Encía
ܟܪܘܙܘܬܐ ܕܡܪܩܘܣ	Evangelio de Marcos
ܟܟܪܝܬܐ ܕܕܒܫܐ	Panal
ܐܓܪܬܐ ܕܠܘܬ ܩܘܪܢܬܝܐ ܕܬܪܬܝܢ	Segunda epístola a los corintios
ܫܥܘܬܐ (ܡܠܘܐܐ)	Cera
ܛܥܡܐ	Gusto
ܓܢܬ ܫܒܪܐ	Educación preescolar
ܝܡܬܐ ܕܓܠܝܠܐ	Mar de Galilea
ܕܝܘܬܐ	Tinta
ܡܪܝ ܝܘܣܦ	José de Nazaret
ܠܘܩܐ ܐܘܢܓܠܣܛܐ	Lucas el Evangelista
ܐܓܪܬܐ ܕܠܘܬ ܥܒܪܝܐ	Epístola a los hebreos
ܐܓܪܬܐ ܕܠܘܬ ܓܠܛܝܐ	Epístola a los gálatas
ܡܪܝ ܡܝܟܐܝܠ ܪܒܐ	Miguel el Sirio
Ϝ	Ϝ
Ϙ	Ϙ
ܥܛܡܐ	Muslo
ܬܢܢܐ	Humo
ܡܘܚܘܢܐ	Cerebelo
ܐܓܪܬܐ ܕܠܘܬ ܩܘܠܣܝܐ	Epístola a los colosenses
ܐܓܪܬܐ ܕܝܥܩܘܒ	Epístola de Santiago
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܝܘܚܢܢ	Primera epístola de Juan
ܐܓܪܬܐ ܕܠܘܬ ܦܝܠܡܘܢ	Epístola a Filemón
ܐܓܪܬܐ ܕܠܘܬ ܬܣܠܘܢܝܩܝܐ ܕܬܪܬܝܢ	Segunda epístola a los tesalonicenses
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܬܣܠܘܢܝܩܝܐ	Primera epístola a los tesalonicenses
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܦܛܪܘܣ	Primera epístola de Pedro
ܐܓܪܬܐ ܕܬܪܬܝܢ ܕܦܛܪܘܣ	Segunda epístola de Pedro
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܛܝܡܬܐܘܣ	Primera epístola a Timoteo
Ϛ	Ϛ
ܡܪܕܝܢ (ܗܘܦܪܟܝܐ)	Provincia de Mardin
ܚܡܨ (ܡܕܝܢܬܐ)	Homs
Ͳ	Ͳ
ܘܐܟܐܩܐ ܕܝ ܟܘܐܪܝܣ	Oaxaca de Juárez
ܐܓܪܬܐ ܕܬܪܬܝܢ ܕܝܘܚܢܢ	Segunda epístola de Juan
ܐܓܪܬܐ ܕܬܠܬ ܕܝܘܚܢܢ	Tercera epístola de Juan
ܐܓܪܬܐ ܕܝܗܘܕܐ	Epístola de Judas
ܐܓܪܬܐ ܕܠܘܬ ܛܝܡܬܐܘܣ ܕܬܪܬܝܢ	Segunda epístola a Timoteo
ܐܓܪܬܐ ܕܠܘܬ ܛܛܘܣ	Epístola a Tito
ܫܝܪܢܐܟ (ܡܕܝܢܬܐ)	Şırnak
Ϻ	San (letra griega)
ܩܠܝܕܐ (ܡܐܢܐ)	Llave
ܥܕܥܐܕܐ	Festival
ܐܪܒܝܠ (ܡܕܝܢܬܐ)	Erbil (ciudad)
ܪܓܠܐ	Pata
ܚܨܐ	Espalda
ܐܠܝܐ ܢܒܝܐ	Elías
ܙܚܘܪܝܬܐ (ܬܘܠܥܬܐ)	Bombyx mori
ܚܘܦܝܐ	Eclipse
ܡܚܛܐ	Aguja (costura)
ܥܠܡܐ ܥܪܒܝܐ	Mundo árabe
ܦܓܘܕܬܐ	Brida (equitación)
ܩܛܡܐ	Ceniza
ܢܘܗܕܪܐ (ܡܕܝܢܬܐ)	Duhok
ܨܒܥܐ ܕܪܓܠܐ	Dedos del pie
ܠܘܚܐ (ܚܫܘܒܬܐ)	Tableta (computadora)
ܪܒܝܬܐ	Usura
ܡܟܝܪܘܬܐ	Esponsales
ܫܘܪܡܐ	Recto
ܐܪܡܝܐ (ܢܒܝܐ)	Jeremías (profeta)
ܬܐܡܐ	Gemelos (biología)
ܬܠܝܦܐ	Pestaña
ܫܥܬܐ ܕܐܪܥܐ	La hora del planeta
ܦܪܡܝܬܐ	Botón (indumentaria)
ܟܘܟܒܐ ܕܕܘܝܕ	Estrella de David
ܡܪܝ ܐܣܛܦܢܘܣ	Esteban (mártir)
ܡܫܡܫܢܐ	Diácono
ܢܓܒ	Néguev
ܟܢܥܢ	Canaán
ܢܘܨܦܐ	Crepúsculo
ܒܝܢܐ	Tamarix
ܬܓܪܝܬ	Tikrit
ܚܠܐ (ܥܦܪܐ)	Polvo
ܬܪܥܐ ܕܕܡܐ	Hemorragia
ܥܪܒܐ ܕܫܡܫܐ	Ocaso
ܐܡܝܫܐ	Pantano
ܡܨܥܝܬܐ (ܨܒܥܐ)	Dedo medio
ز	ز
ܣܒܐ (ܒܝܬܝܘܬܐ)	Abuelo
ܩܘܪܨܠܐ	Tobillo
ܒܪ ܐܝܕܐ	Guante
ܢܫܒܐ ܕܥܝܢܐ	Retina
ܬܘܩܢ ܓܝܕܝܐ ܡܚܕܘܪܝܐ	Sistema nervioso periférico
ܛܝܢܐ	Barro
ܓܓܘܠܬܐ	Calvario
ܗܢܝܢܐ (ܡܡܫܚܘܬܐ)	Interés
ܐܫܘܪ ܒܢܐܦܠ	Asurbanipal
ܓܕܫܐ	Accidente
ܦܛܪܝܪܟܐ	Patriarca
ا	ا
ܚܟܐ	Paladar
ت	ت
ث	ث
ج	ج
ح	ح
خ	خ
د	د
ذ	ذ
ر	ر
ܪܓܫܐ	Sentido (percepción)
س	س
ܟܪܟ ܣܠܘܟ (ܡܕܝܢܬܐ)	Kirkuk
ܒܒܬܐ	Pupila
ܩܒܪܐ	Sepultura
ܠܒܘܢܬܐ	Olíbano
ܚܡܬ (ܡܕܝܢܬܐ)	Hama
ܝܫܛܐ	Esófago
ܟܝܣܐ ܕܐܫܟܐ	Escroto
ܕܒܪܐ	Medio rural
ܚܪܘܫܬܐ	Tráquea
ܓܪܡܐ ܕܥܛܡܐ	Fémur
ܒܪܐ (ܒܝܬܝܘܬܐ)	Hijo
ܫܚܘܪܐ	Carbón vegetal
ܐܘܟܡܐ ܕܥܝܢܐ	Iris
ܫܦܠܘܗܝ ܕܢܝܠܘܣ	Delta del Nilo
ܐܘܪܡܝܐ	Urmía
Ϸ	Ϸ
ܓܙܪܬܐ ܐܝܘܠܝܬܐ	Islas Eolias
ܓܒܐ ܕܒܥܬ	Partido Baaz Árabe Socialista
ܦܩܪܐ	Vértebra
ܒܪ ܩܠܐ	Eco
ܟܝܡܪܐ	Quimera (mitología)
ܠܘܓܡܐ	Maxilar
ܬܝܒܘܬܐ	Penitencia
ܡܛܘܚܬܐ	Dedo índice
ܩܒܠܘܬܐ	Matrona
ܐܪܙܝܪܐ	Sturnidae
ܣܦܪܐ (ܩܢܘܢܝܐ)	Jurista
Ͱ	Heta
ܥܡܐ ܐܪܡܝܐ	Arameos
ܟܢܘܢܬܐ (ܫܪܝܬܐ)	Muñeca (anatomía)
ܐܒܐ (ܐܠܗܐ)	Dios Padre
ܐܢܒܐܪ (ܗܘܦܪܟܝܐ)	Gobernación de Ambar
ܡܪܕܝܢ (ܡܕܝܢܬܐ)	Mardin
ܣܪܛܢܐ	Cáncer (desambiguación)
ܡܘܪܘܢ	Confirmación
ܚܠܡܬܐ	Pezón
ܢܘܠܐ ܕܓܘܓܝ	Telaraña
ܐܫܥܝܐ	Isaías (profeta)
ܒܝܬ ܟܬܒܐ ܐܬܪܝܐ ܕܐܣܪܐܝܠ	Biblioteca Nacional de Israel
ܥܪܫܐ	Diente molar
ܢܝܢܘܐ (ܗܘܦܪܟܝܐ)	Gobernación de Nínive
ܢܘܗܕܪܐ (ܗܘܦܪܟܝܐ)	Gobernación de Duhok
ܘܐܣܛ (ܗܘܦܪܟܝܐ)	Gobernación de Wasit
ܨܠܐܚ ܐܠܕܝܢ (ܗܘܦܪܟܝܐ)	Gobernación de Saladino
ܟܢܘܫܝܐ ܕܠܫܢܐ ܥܒܪܝܐ	Academia del Idioma Hebreo
ܥܘܕ	Laúd árabe
ܒܓܕܐܕ (ܗܘܦܪܟܝܐ)	Gobernación de Bagdad
ܣܪܓܐ	Silla de montar
ܒܨܪܐ (ܨܒܥܐ)	Dedo anular
ܩܛܝܣܦܘܢ	Ctesifonte
ܟܒܘܫܐ	Pesadilla
ܢܓܦ (ܗܘܦܪܟܝܐ)	Gobernación de Nayaf
ܟܪܟ ܣܠܘܟ (ܗܘܦܪܟܝܐ)	Gobernación de Kirkuk
ܕܢܚܐ ܕܫܡܫܐ	Orto
ܬܐܪܬܐ	Conciencia
ܒܨܪܐ (ܗܘܦܪܟܝܐ)	Gobernación de Basora
ܡܫܚܐ ܕܟܪܝܗܐ	Sacramento de la unción de los enfermos
ܦܠܫܬ	Filisteos
ܐܠܥܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Costilla
ܥܕܬܐ ܐܝܓܘܦܛܝܬܐ	Iglesia ortodoxa copta
ܐܦܪܝܡ ܣܘܪܝܝܐ	Efrén de Siria
ܪܝܫܘܢ ܠܬܣܝܘܢ	Rishon LeZion
ܟܢܪܐ	Lira (instrumento musical)
ܥܕܬܐ ܕܡܕܢܚܐ ܕܐܬܘܪܝܐ	Iglesia asiria del Oriente
