अफ्रीका	África
इक्वेटोरियल गिनी	Guinea Ecuatorial
एरिट्रिया	Eritrea
नयाँ दिल्ली	Nueva Delhi
शिशु	Bebé
गाबोन	Gabón
महात्मा गान्धी	Mahatma Gandhi
गाम्बिया	Gambia
गिनी	Guinea
गिनी-बिसाउ	Guinea-Bisáu
आइभोरी कोस्ट	Costa de Marfil
क्यामेरून	Camerún
केप भर्ड	Cabo Verde
लिबिया	Libia
माडागास्कर	Madagascar
स्टटगर्ट	Stuttgart
मौरिसस	Mauricio
नाइजेरिया	Nigeria
चार्ल्स डार्विन	Charles Darwin
युगाण्डा	Uganda
रुवाण्डा	Ruanda
सोमालिया	Somalia
नायोबियम	Niobio
जवाहरलाल नेहरु	Sri Pandit Jawaharlal Nehru
जुलियस सिजर	Julio César
इन्द्रेणी	Arco iris
ह्याम्बर्ग	Hamburgo
नरेन्द्र मोदी	Narendra Modi
प्रतिरक्षा प्रणाली	Sistema inmunitario
गुजरात	Guyarat
क्रम-विकास	Evolución biológica
संयुक्त राष्ट्र संघ	Organización de las Naciones Unidas
अहमदाबाद	Ahmedabad
भूगोल	Geografía
मुटु	Corazón
मस्तिष्क	Cerebro
रङ्ग	Color
प्राग	Praga
निलो	Azul
चाँदी	Plata
प्लुटोनियम	Plutonio
नेप्ट्युनियम	Neptunio
विद्युत आवेश	Carga eléctrica
थोरियम	Torio
बिल क्लिन्टन	Bill Clinton
ईन्दिरा गान्धी	Indira Gandhi
मुम्बई	Bombay
आन्ध्र प्रदेश	Andhra Pradesh
अरुणाचल प्रदेश	Arunachal Pradesh
आसाम	Assam
बिहार	Bihar
मिचिगन	Míchigan
छत्तीसगढ	Chhattisgarh
गोआ	Goa
हरियाणा	Haryana
हिमाचल प्रदेश	Himachal Pradesh
जम्मू र कश्मीर	Jammu y Cachemira
प्युर्तो रिको	Puerto Rico
झारखण्ड	Jharkhand
कर्नाटक	Karnataka
मध्य प्रदेश	Madhya Pradesh
युसेन बोल्ट	Usain Bolt
महाराष्ट्र	Maharastra
मणिपुर	Manipur
श्लेसविग-होल्सटीन	Schleswig-Holstein
मेघालय	Megalaya
उत्तरी राइन	Renania del Norte-Westfalia
हेसे	Hesse
राइनल्यान्ड	Renania-Palatinado
सारल्यान्ड	Sarre
स्याक्सोनी	Sajonia
जोन लेनन	John Lennon
इलिनाय	Illinois
थाइरिन्जिया	Turingia
नर्थ डेकोटा	Dakota del Norte
ब्रान्डेनबर्ग	Brandeburgo
ब्रेमेन (राज्य)	Bremen (estado)
साउथ डेकोटा	Dakota del Sur
मोन्टाना	Montana
वायोमिङ	Wyoming
जेरुसेलम	Jerusalén
आयडाहो	Idaho
वासिङ्टन डी.सी.	Washington (estado)
रदर्फोर्डियम	Rutherfordio
नेवाडा	Nevada
दुब्नियम	Dubnio
सिबोर्गियम	Seaborgio
हिन्द महासागर	Océano Índico
वान कि मुन	Ban Ki-moon
कोफी अन्नान	Kofi Annan
कोलोराडो	Colorado
डार्मस्टासियम	Darmstadio
डग हमरसल्ड	Dag Hammarskjöld
ट्रेग्भी लाई	Trygve Lie
रेन्टगेनियम	Roentgenio
उनुन्बियम	Copernicio
आल्प्स	Alpes
ब्लेइज पास्कल	Blaise Pascal
शिकागो	Chicago
विटल्स	The Beatles
उनुन्ट्रियम	Ununtrio
उनुन्क्वाडियम	Flerovio
उनुन्पेन्टियम	Unumpentio
उनुन्हेक्सियम	Livermorio
उनुन्सेप्टियम	Ununseptio
उनुनक्टियम	Ununoctio
शिशिर ऋतु	Invierno
वसन्त	Primavera
गृष्म ऋतु	Verano
शरद ऋतु	Otoño
ओसामा बिन लादेन	Osama bin Laden
स्पेनी भाषा	Idioma español
योहान सेबास्तियन बाख	Johann Sebastian Bach
फिलाडेल्फिया	Filadelfia
कोलकाता	Calcuta
चेन्नई	Chennai
दिल्ली	Delhi
ढाका	Daca
बेंगलोर	Bangalore
पश्चिम बङ्गाल	Bengala Occidental
माकुरा	Araneae
इस्लामाबाद	Islamabad
त्रिपुरा	Tripura
फल-फूल	Fruto
बाँदर	Mono
मुद्रा	Dinero
भर्जिनिया	Virginia
वेस्ट भर्जिनिया	Virginia Occidental
न्यू योर्क	Nueva York (estado)
रोड आइल्यान्ड	Rhode Island
किरा	Insecta
मेरिल्यान्ड	Maryland
डेलावेयर	Delaware
व्लादिमीर लेनिन	Lenin
ओहायो	Ohio
पेन्सिलभेनिया	Pensilvania
ऊएतेर्सेन्	Uetersen
माइक्रोसफ्ट विन्डोज	Microsoft Windows
न्यु जर्सी	Nueva Jersey
गिब्राल्टार	Gibraltar
इन्डियाना	Indiana
रोजर फेडरर	Roger Federer
जर्जिया (संयुक्त राज्य)	Georgia (Estados Unidos)
जग्रिब	Zagreb
राजस्थान	Rayastán
टेक्सस	Texas
तमिलनाडु	Tamil Nadu
ब्रुनो मार्स	Bruno Mars
नर्थ क्यारोलाइना	Carolina del Norte
साउथ क्यारोलाइना	Carolina del Sur
टोकियो	Tokio
बार्सिलोना	Barcelona
भुइँ कटहर	Ananas comosus
मिसिसिपी	Misisipi
फर्डिनान्ड म्यागलन	Fernando de Magallanes
उत्तर प्रदेश	Uttar Pradesh
उत्तराखण्ड	Uttarakhand
स्वीमिङ्ग पुल	Piscina
मिजोरम	Mizorán
सिक्किम	Sikkim
टेनेसी	Tennessee
अबू धाबी	Abu Dabi
न्यू मेक्सिको	Nuevo México
मिनिसोटा	Minnesota
अन्तर्राष्ट्रिय प्रमाणिक समय	Tiempo universal coordinado
विस्कान्सिन	Wisconsin
पुणे	Pune
एसी मिलान	Associazione Calcio Milan
आयोवा	Iowa
नेब्रास्का	Nebraska
कन्सास	Kansas
सुर्ती	Tabaco
हिन्दी	Hindi
इन्टरनेट एक्सप्लोरर	Internet Explorer
चुरोट	Cigarrillo
भगवान गणेश	Ganesha
मिसौरी	Misuri
लुजियाना	Luisiana
केन्टकी	Kentucky
आर्कन्सास	Arkansas
निल आर्मस्ट्रङ	Neil Armstrong
उर्दू	Urdu
ओक्लाहोमा	Oklahoma
भलिबल	Voleibol
म्याडोना (मनोरञ्जनकर्मी)	Madonna
कोपनहेगन	Copenhague
स्टकहोम	Estocolmo
हेल्सिन्की	Helsinki
ब्रातिस्लाभा	Bratislava
बुडापेस्ट	Budapest
बाइबल	Biblia
अर्बियम	Erbio
हनोइ	Hanói
साँचो येशु गिर्जाघर	Verdadera Iglesia de Jesús
अङ्ग्रेजी भाषा	Idioma inglés
क्वालालम्पुर	Kuala Lumpur
ताइपेइ	Taipéi
एमेरिसियम	Americio
क्युरियम	Curio
बर्क्लियम	Berkelio
क्यालिफोर्नियम	Californio
आइन्स्टाइनियम	Einstenio
मेन्देलिभियम	Mendelevio
नोबेलियम	Nobelio
लरेन्सियम	Lawrencio
येरवान प्रान्त	Ereván
कोन्स्कोभोला	Końskowola
शनिका प्राकृतिक उपग्रहहरु	Satélites de Saturno
सन् २०००	2000
सन् २००३	2003
सन् २००२	2002
सन् २००१	2001
सन २०१२	2012
सन् २०११	2011
सन् २०१०	2010
सन् २००९	2009
सन २०१३	2013
सन् २०१४	2014
सन् २०१५	2015
सन् २००८	2008
जाभास्क्रिप्ट	JavaScript
सन् २००४	2004
सन् २००५	2005
सन् २००६	2006
सन् २००७	2007
सन् १९००	1900
सन् १९०१	1901
सन् १९०२	1902
फ्लोरेन्स	Florencia
सन् १९०३	1903
सन् १९०४	1904
सन् १९०५	1905
सन् १९०७	1907
सन् १९०६	1906
सन् १९०८	1908
सन् १९०९	1909
सन् १९९२	1992
सन् १९९१	1991
सन् १९९०	1990
सन् १९९३	1993
सन् १९९४	1994
सन् १९९५	1995
सन् १९९६	1996
सन् १९१०	1910
सन् १९११	1911
सन् १९१२	1912
सन् १९१३	1913
सन् १९१४	1914
सन् १९१५	1915
सन् १९१६	1916
सन् १९९७	1997
सन् १९९८	1998
सन् १९९९	1999
सन् १९१७	1917
सन् १९१८	1918
खाद्यपदार्थ	Alimento
सर्प	Serpentes
१ जनवरी	1 de enero
२ जनवरी	2 de enero
सुभाषचन्द्र बोस	Subhas Chandra Bose
सन् १९२०	1920
३ जनवरी	3 de enero
सन् १९१९	1919
सन् १९२१	1921
सन् १९२२	1922
४ जनवरी	4 de enero
सन् १९२३	1923
सन् १९२४	1924
५ जनवरी	5 de enero
६ जनवरी	6 de enero
इलेक्ट्रोन	Electrón
७ जनवरी	7 de enero
८ जनवरी	8 de enero
९ जनवरी	9 de enero
१० जनवरी	10 de enero
११ जनवरी	11 de enero
१२ जनवरी	12 de enero
१३ जनवरी	13 de enero
१४ जनवरी	14 de enero
१५ जनवरी	15 de enero
१६ जनवरी	16 de enero
टम ह्याङ्क्स	Tom Hanks
१७ जनवरी	17 de enero
१८ जनवरी	18 de enero
१९ जनवरी	19 de enero
२० जनवरी	20 de enero
२१ जनवरी	21 de enero
२२ जनवरी	22 de enero
२३ जनवरी	23 de enero
२४ जनवरी	24 de enero
२५ जनवरी	25 de enero
मिन्स्क	Minsk
२६ जनवरी	26 de enero
माइक्रोसफ्ट	Microsoft
२७ जनवरी	27 de enero
२८ जनवरी	28 de enero
२९ जनवरी	29 de enero
३० जनवरी	30 de enero
३१ जनवरी	31 de enero
प्रोटोन	Protón
२ डिसेम्बर	2 de diciembre
१ डिसेम्बर	1 de diciembre
३ डिसेम्बर	3 de diciembre
७ डिसेम्बर	7 de diciembre
५ डिसेम्बर	5 de diciembre
८ डिसेम्बर	8 de diciembre
१० डिसेम्बर	10 de diciembre
६ डिसेम्बर	6 de diciembre
९ डिसेम्बर	9 de diciembre
४ डिसेम्बर	4 de diciembre
१ फेब्रुअरी	1 de febrero
२ फेब्रुअरी	2 de febrero
३ फेब्रुअरी	3 de febrero
कुरुफ	Kurów
४ फेब्रुअरी	4 de febrero
५ फेब्रुअरी	5 de febrero
६ फेब्रुअरी	6 de febrero
७ फेब्रुअरी	7 de febrero
८ फेब्रुअरी	8 de febrero
९ फेब्रुअरी	9 de febrero
१० फेब्रुअरी	10 de febrero
रसायनशास्त्र	Química
१४ फेब्रुअरी	14 de febrero
१३ फेब्रुअरी	13 de febrero
१५ फेब्रुअरी	15 de febrero
११ फेब्रुअरी	11 de febrero
१२ फेब्रुअरी	12 de febrero
रोबिन भान पर्सी	Robin van Persie
१९ फेब्रुअरी	19 de febrero
१७ फेब्रुअरी	17 de febrero
१६ फेब्रुअरी	16 de febrero
१८ फेब्रुअरी	18 de febrero
२० फेब्रुअरी	20 de febrero
न्यूट्रोन	Neutrón
२१ फेब्रुअरी	21 de febrero
२२ फेब्रुअरी	22 de febrero
२३ फेब्रुअरी	23 de febrero
२४ फेब्रुअरी	24 de febrero
२५ फेब्रुअरी	25 de febrero
२६ फेब्रुअरी	26 de febrero
२७ फेब्रुअरी	27 de febrero
२८ फेब्रुअरी	28 de febrero
११ डिसेम्बर	11 de diciembre
२९ फेब्रुअरी	29 de febrero
१२ डिसेम्बर	12 de diciembre
१३ डिसेम्बर	13 de diciembre
१४ डिसेम्बर	14 de diciembre
१५ डिसेम्बर	15 de diciembre
२ मार्च	2 de marzo
३ मार्च	3 de marzo
५ मार्च	5 de marzo
१ मार्च	1 de marzo
७ मार्च	7 de marzo
८ मार्च	8 de marzo
४ मार्च	4 de marzo
१० मार्च	10 de marzo
११ मार्च	11 de marzo
६ मार्च	6 de marzo
१३ मार्च	13 de marzo
९ मार्च	9 de marzo
१२ मार्च	12 de marzo
१५ मार्च	15 de marzo
१४ मार्च	14 de marzo
१६ डिसेम्बर	16 de diciembre
१७ डिसेम्बर	17 de diciembre
१६ मार्च	16 de marzo
१७ मार्च	17 de marzo
१८ मार्च	18 de marzo
१९ मार्च	19 de marzo
सन् १९८९	1989
सन् १९८८	1988
२० मार्च	20 de marzo
सन् १९८७	1987
सन् १९८६	1986
सन् १९८५	1985
सन् १९८४	1984
२१ मार्च	21 de marzo
सन् १९८३	1983
२२ मार्च	22 de marzo
सन् १९८२	1982
सन् १९८१	1981
१८ डिसेम्बर	18 de diciembre
सन् १९८०	1980
२३ मार्च	23 de marzo
१९ डिसेम्बर	19 de diciembre
२४ मार्च	24 de marzo
२५ मार्च	25 de marzo
२० डिसेम्बर	20 de diciembre
२६ मार्च	26 de marzo
२७ मार्च	27 de marzo
२८ मार्च	28 de marzo
२९ मार्च	29 de marzo
३० मार्च	30 de marzo
३१ मार्च	31 de marzo
सन् १९७०	1970
सन् १९७१	1971
सन् १९७२	1972
सन् १९७३	1973
सन् १९७४	1974
सन् १९७५	1975
सन् १९७६	1976
सन् १९७७	1977
सन् १९७८	1978
सन् १९७९	1979
सन् १९६९	1969
३० वर्षे युद्ध	Guerra de los Treinta Años
सर्पिल गैलेक्सी	Galaxia espiral
डन्डीय सर्पिल गैलेक्सी	Galaxia espiral barrada
१५ अप्रिल	15 de abril
१३ अप्रिल	13 de abril
१२ अप्रिल	12 de abril
१४ अप्रिल	14 de abril
११ अप्रिल	11 de abril
१० अप्रिल	10 de abril
८ अप्रिल	8 de abril
९ अप्रिल	9 de abril
७ अप्रिल	7 de abril
६ अप्रिल	6 de abril
५ अप्रिल	5 de abril
४ अप्रिल	4 de abril
३ अप्रिल	3 de abril
१ अप्रिल	1 de abril
२ अप्रिल	2 de abril
१६ अप्रिल	16 de abril
१७ अप्रिल	17 de abril
१८ अप्रिल	18 de abril
१९ अप्रिल	19 de abril
२० अप्रिल	20 de abril
२१ अप्रिल	21 de abril
२२ अप्रिल	22 de abril
२३ अप्रिल	23 de abril
२४ अप्रिल	24 de abril
२५ अप्रिल	25 de abril
२६ अप्रिल	26 de abril
२७ अप्रिल	27 de abril
२८ अप्रिल	28 de abril
२९ अप्रिल	29 de abril
३० अप्रिल	30 de abril
१ मे	1 de mayo
२ मे	2 de mayo
३ मे	3 de mayo
४ मे	4 de mayo
५ मे	5 de mayo
६ मे	6 de mayo
७ मे	7 de mayo
८ मे	8 de mayo
९ मे	9 de mayo
१० मे	10 de mayo
११ मे	11 de mayo
१२ मे	12 de mayo
१३ मे	13 de mayo
१४ मे	14 de mayo
१५ मे	15 de mayo
१६ मे	16 de mayo
१७ मे	17 de mayo
१८ मे	18 de mayo
१९ मे	19 de mayo
२० मे	20 de mayo
२१ मे	21 de mayo
२२ मे	22 de mayo
२३ मे	23 de mayo
२४ मे	24 de mayo
२५ मे	25 de mayo
२६ मे	26 de mayo
२७ मे	27 de mayo
२८ मे	28 de mayo
२९ मे	29 de mayo
३० मे	30 de mayo
३१ मे	31 de mayo
पल मेकार्टनी	Paul McCartney
२१ डिसेम्बर	21 de diciembre
१४ जुन	14 de junio
१५ जुन	15 de junio
१३ जुन	13 de junio
१० जुन	10 de junio
७ जुन	7 de junio
११ जुन	11 de junio
९ जुन	9 de junio
१२ जुन	12 de junio
६ जुन	6 de junio
८ जुन	8 de junio
५ जुन	5 de junio
३ जुन	3 de junio
२ जुन	2 de junio
१ जुन	1 de junio
४ जुन	4 de junio
२२ डिसेम्बर	22 de diciembre
जर्ज ह्यारिसन	George Harrison
सन् १९६८	1968
सन् १९६७	1967
सन् १९६६	1966
सन् १९६५	1965
सन् १९६४	1964
१६ जुन	16 de junio
३० जुन	30 de junio
२९ जुन	29 de junio
२८ जुन	28 de junio
२६ जुन	26 de junio
२५ जुन	25 de junio
२२ जुन	22 de junio
२७ जुन	27 de junio
२४ जुन	24 de junio
२० जून	20 de junio
२३ जुन	23 de junio
१९ जून	19 de junio
१८ जुन	18 de junio
२१ जून	21 de junio
१७ जुन	17 de junio
२३ डिसेम्बर	23 de diciembre
अर्नोल्ड स्वार्जनेगर	Arnold Schwarzenegger
१५ जुलाई	15 de julio
१३ जुलाई	13 de julio
१२ जुलाई	12 de julio
१० जुलाई	10 de julio
९ जुलाई	9 de julio
१४ जुलाई	14 de julio
८ जुलाई	8 de julio
७ जुलाई	7 de julio
६ जुलाई	6 de julio
५ जुलाई	5 de julio
२ जुलाई	2 de julio
४ जुलाई	4 de julio
३ जुलाई	3 de julio
१ जुलाई	1 de julio
११ जुलाई	11 de julio
२४ डिसेम्बर	24 de diciembre
