非洲	África
Ngo (砈)	Ástato
Lòi-sò-thok	Lesoto
Mâ-tha̍t-kâ-sṳ̂-kâ	Madagascar
Mâ-là-vî	Malaui
Stuttgart	Stuttgart
Màu-li-thap-nì-â	Mauritania
Pô-làn-ngìn	Pueblo polaco
Mo̍k-sông-pí-khiet	Mozambique
Na̍p-mí-pí-â	Namibia
Nai-khi̍p-li-â	Nigeria
Ko	Circonio
Nì	Niobio
Yû-li-vû-sṳ̂ Khái-sat	Julio César
Sṳ̂-vî-sṳ-làn	Suazilandia
Muk	Molibdeno
Thap	Tecnecio
Hamburg	Hamburgo
Thoi-chhia	Metabolismo
Miên-yi̍t Hì-thúng	Sistema inmunitario
Lièn-ha̍p-koet	Organización de las Naciones Unidas
Sîm-chhong	Corazón
Thèu-nó	Cerebro
Phì-fû	Piel
Ló	Rodio
Làm-set	Azul
Pâ	Paladio
Ngiùn	Plata
Kak	Cadmio
Yîn	Indio (elemento)
Siak	Estaño
Yu	Uranio
Thi (銻)	Antimonio
Ti	Telurio
Pu	Plutonio
Tièn	Yodo
Nai	Neptunio
Set	Cesio
Phù	Protactinio
Pi	Bario
Thú	Torio
Kap (鉿)	Hafnio
Than (鉭)	Tantalio
Luì	Radio (elemento)
Tûng	Radón
Alsace	Alsacia
Auvergne	Auvernia
Ôn-tet-là-pâng	Andhra Pradesh
Me̍t-hiet-kîn	Míchigan
Burgundy	Borgoña
Aquitaine	Aquitania
Schleswig-Holstein	Schleswig-Holstein
Hâ Saxony	Baja Sajonia
Pet Rhine-Westphalia	Renania del Norte-Westfalia
Saxony	Sajonia
Yî-li-nò	Illinois
Thuringia	Turingia
Saxony-Anhalt	Sajonia-Anhalt
Pet Tha̍t-khô-thâ	Dakota del Norte
Brandenburg	Brandeburgo
Bremen-chû	Bremen (estado)
Nàm Tha̍t-khô-thâ	Dakota del Sur
Mùng-thai-nâ	Montana
Fài-ngò-mìn	Wyoming
Yâ-lu-sat-lâng	Jerusalén
Oi-tha̍t-hòt	Idaho
Fà-sṳn-tun	Washington (estado)
Lù (鑪)	Rutherfordio
Nui-fà-tha̍t	Nevada
Hàn (𨧀)	Dubnio
Hí (𨭎)	Seaborgio
Yin-thu-yòng	Océano Índico
Khô-sò-vok	Kosovo
Kâ-le̍t-pí-hói	Mar Caribe
Pô (𨨏)	Bohrio
Het (𨭆)	Hassio
Phan Kî-vùn	Ban Ki-moon
Ma̍k (䥑)	Meitnerio
Khô-lò-là-tô	Colorado
Tha̍t	Darmstadio
Siau-pâng	Frédéric Chopin
Lùn	Roentgenio
Kô (鎶)	Copernicio
分類:Chú-yeu fûn-lui	Categoría:Índice de categorías
Chi-kâ-kô	Chicago
Arnhem	Arnhem
Tûng-kui	Invierno
Sî-pân-ngà-ngî	Idioma español
Fî-là-thiet-fî	Filadelfia
Tî-tû	Araneae
Hèu-è	Mono
Kîm-tshièn	Dinero
Vì-kit-nì-â	Virginia
Sî Vì-kit-nì-â	Virginia Occidental
Tshiâng-tséu	Capsicum annuum
Néu-yok-chû	Nueva York (estado)
Sṳ (鈰)	Cerio
Phú	Praseodimio
Lò-tet-tó	Rhode Island
Ńg	Neodimio
Khûn-chhùng	Insecta
Mâ-lî-làn	Maryland
Thi̍t-lâ-ngá	Delaware
Yû (銪)	Europio
Ngò-hài-ngò	Ohio
Vì-kit-ngì	Virgilio
Machiavelli	Nicolás Maquiavelo
Pîn-sé-fap-nì-â	Pensilvania
Uetersen	Uetersen
O-kú-sṳ̂-tû	César Augusto
Néu Chhe̍t-sî-chû	Nueva Jersey
Fûn-làn-ngî	Idioma finés
Yin-thi-ôn-na̍p	Indiana
Vì-sṳ̂-pha-siên	Tito Flavio Vespasiano
Thù-là-chṳ̂n	Trajano
Hâ-tet-liòng	Adriano
Khièu-tshṳ-â	Georgia (Estados Unidos)
Mâ-khù-sṳ̂ O-lie̍t-lî-vû-sṳ̂	Marco Aurelio
Zagreb	Zagreb
Tet-khiet-sat-sṳ̂	Texas
Thai-mí-ngì-na̍p-tet-pâng	Tamil Nadu
Pet Khà-lò-lòi-na̍p	Carolina del Norte
Nàm Khà-lò-lòi-na̍p	Carolina del Sur
Loire-sén	Río Loira
Pâ-set-lò-nâ	Barcelona
Vòng-lî	Ananas comosus
Me̍t-sî-sî-pí	Misisipi
Thièn-na̍p-sî	Tennessee
Néu Me̍t-sî-kô	Nuevo México
Mìn-nì-sû-tha̍t	Minnesota
Vî-sṳ̂-không-sîn	Wisconsin
Oi-hò-fà	Iowa
Nui-pu-lâ-sṳ̂-kâ	Nebraska
Khâm-sat-sṳ̂	Kansas
Yin-thi-ngî	Hindi
Me̍t-sû-lî	Misuri
Lu-yi-sṳ̂-ôn-ná	Luisiana
Khén-thap-kî	Kentucky
Â-khén-set	Arkansas
Neil Armstrong	Neil Armstrong
O-khiet-lâ-hò-mâ	Oklahoma
Pet-hói	Mar del Norte
Mo̍k-sṳ̂-khô-chû	Óblast de Moscú
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hanover	Hannover
Düsseldorf	Düsseldorf
Mainz	Maguncia
Wiesbaden	Wiesbaden
Saarbrücken	Sarrebruck
Mu-nì-het	Múnich
Erfurt	Érfurt
Dresden	Dresde
Kaliningrad-chû	Óblast de Kaliningrado
Murmansk-chû	Óblast de Múrmansk
Kak-than-sṳ̂-khiet	Gdansk
Fap-làn-khiet-fuk	Fráncfort del Meno
Fut-lò-tshṳ-ngá-fû	Breslavia
Làn	Lantano
Ki (鉕)	Prometio
Sân	Samario
Â-chhè Thi̍t-phe̍t Hàng-chṳn-khî	Aceh
Nga̍t (釓)	Gadolinio
Thi̍t (鋱)	Terbio
Tit (鏑)	Disprosio
Sṳn-kîn	Biblia
Fó	Holmio
Ngí (鉺)	Erbio
Tiû	Tulio
Yi	Iterbio
Liu	Lutecio
Hò-nui-sṳ	Hanói
Chṳ̂n Yâ-sû Kau-fi	Verdadera Iglesia de Jesús
Yîn-ngî	Idioma inglés
Màn-kuk	Bangkok
Kit-lùng-po	Kuala Lumpur
Pâng-kâ Vú-lî-thung-sén	Bangka-Belitung
Thòi-pet-sṳ	Taipéi
Mî (鋂)	Americio
Arkhangelsk-chû	Óblast de Arcángel
Khiu̍k	Curio
Thùng-hói-sṳ	Đồng Hới
Concepción	Concepción (Chile)
Pet (鉳)	Berkelio
Khà (鉲)	Californio
Mìn-kú-lû-sén	Bengkulu
Oi	Einstenio
Fi	Fermio
Mùn	Mendelevio
Na	Nobelio
Ontario-sén	Ontario
Lò	Lawrencio
Karelia Khiung-fò-koet	República de Carelia
Końskowola	Końskowola
2002-ngièn	2002
2008-ngièn	2008
Charles de Gaulle	Charles de Gaulle
Cham-pî-sén	Jambi (provincia)
Komi Khiung-fò-koet	Komi
Nâm-póng-sén	Lampung
Pet Sû-mùn-tap-lia̍p-sén	Sumatra Septentrional
Syktyvkar	Syktyvkar
Québec-sṳ	Quebec (ciudad)
Nenets Chhṳ-chhṳ-khî	Nenetsia
Liàu-nui-sén	Riau
Leningrad-chû	Óblast de Leningrado
Pskov-chû	Óblast de Pskov
Nizhny Novgorod-chû	Óblast de Nizhni Nóvgorod
Nàm Sû-mùn-tap-lia̍p-sén	Sumatra Meridional
Lò-mâ Ti-koet	Imperio romano
Mì-ngiôn Kûng-sṳ̂	Microsoft
Tver-chû	Óblast de Tver
Khù-lû-fû	Kurów
Fa-ho̍k	Química
Smolensk-chû	Óblast de Smolensk
Yaroslavl-chû	Óblast de Yaroslavl
Kostroma-chû	Óblast de Kostromá
Ivanovo-chû	Óblast de Ivánovo
Arnold Schwarzenegger	Arnold Schwarzenegger
Chiuk-khiù	Fútbol
Ryazan-chû	Óblast de Riazán
IPhone	IPhone
Sî Sû-mùn-tap-lia̍p-sén	Sumatra Occidental
Tula-chû	Óblast de Tula
IPad	IPad
Mâ-tet-lî	Madrid
Bryansk-chû	Óblast de Briansk
Michael Jackson	Michael Jackson
Kaluga-chû	Óblast de Kaluga
Loire-Atlantique-sén	Loira Atlántico
Ain-sén	Ain
Allier-sén	Allier
Khâm-phì-là	Canberra
Sông Alpes-sén	Altos Alpes
Oryol-chû	Óblast de Oriol
Sit-nì	Sídney
Alpes-de-Haute-Provence-sén	Alpes de Alta Provenza
Liu̍k-set	Verde
Alpes-Maritimes-sén	Alpes Marítimos (departamento de Francia)
Hâ-tet-sùn-hò	Río Hudson
Me̍t-ngì-pún	Melbourne
Fùng-set	Rojo
Ardèche-sén	Ardèche
Jena	Jena
Kursk-chû	Óblast de Kursk
Ariège-sén	Ariège
Aude-sén	Aude
Aveyron-sén	Aveyron
Sîn Nàm Vî-ngì-sṳ̂-chû	Nueva Gales del Sur
Bouches-du-Rhône-sén	Bocas del Ródano
Àu-thai-li-â Sú-tû Liâng-thi	Territorio de la Capital Australiana
Cantal-sén	Cantal
Belgorod-chû	Óblast de Bélgorod
Côte-d'Or-sén	Côte-d'Or
Côtes-d'Armor-sén	Côtes-d'Armor
Drôme-sén	Drôme
Finistère-sén	Finisterre (Francia)
Voronezh-chû	Óblast de Vorónezh
Sû-mùn-tap-lia̍p	Sumatra
Lipetsk-chû	Óblast de Lípetsk
Van-tan-sén	Bantén (provincia)
Chûng Cháu-ôa-sén	Java Central
Fùi-sên	Cometa
Rostov-chû	Óblast de Rostov
Tûng Cháu-ôa-sén	Java Oriental
Ngâ-kâ-tha̍t Sú-tû Thi̍t-khî	Yakarta
Sî Cháu-ôa-sén	Java Occidental
Adygea Khiung-fò-koet	Adigueya
Ngit-ngiâ Thi-fông Thi̍t-khî	Yogyakarta
Gera	Gera
Maykop	Maikop
Cháu-ôa-tó	Java (isla)
Kâ-lî-man-tân-chû	Kalimantan
